frequency f in Hz; re(r) ; im(r)
848.000000;0.619477;-0.143148
849.000000;0.616050;-0.142462
850.000000;0.612914;-0.138563
851.000000;0.613453;-0.139256
852.000000;0.618156;-0.139710
853.000000;0.621833;-0.138025
854.000000;0.613514;-0.137283
855.000000;0.614551;-0.140458
856.000000;0.616797;-0.140363
857.000000;0.619726;-0.137481
858.000000;0.616989;-0.141714
859.000000;0.617897;-0.141006
860.000000;0.617127;-0.135818
861.000000;0.616025;-0.130308
862.000000;0.615087;-0.134424
863.000000;0.619124;-0.136583
864.000000;0.620182;-0.136187
865.000000;0.617363;-0.136906
866.000000;0.619527;-0.137619
867.000000;0.619726;-0.139883
868.000000;0.619951;-0.139047
869.000000;0.617041;-0.132771
870.000000;0.613363;-0.132957
871.000000;0.614811;-0.135239
872.000000;0.615156;-0.137207
873.000000;0.614219;-0.137969
874.000000;0.615531;-0.136728
875.000000;0.617553;-0.135623
876.000000;0.620070;-0.134527
877.000000;0.624415;-0.136588
878.000000;0.623165;-0.136939
879.000000;0.619141;-0.137677
880.000000;0.620590;-0.137924
881.000000;0.622366;-0.133490
882.000000;0.616783;-0.136388
883.000000;0.613303;-0.135033
884.000000;0.617009;-0.133383
885.000000;0.620956;-0.139119
886.000000;0.608190;-0.138180
887.000000;0.612791;-0.136134
888.000000;0.617854;-0.141258
889.000000;0.617645;-0.141761
890.000000;0.613171;-0.136760
891.000000;0.611234;-0.133635
892.000000;0.614127;-0.132060
893.000000;0.611302;-0.135863
894.000000;0.607390;-0.135865
895.000000;0.608637;-0.138812
896.000000;0.610020;-0.136511
897.000000;0.611856;-0.137503
898.000000;0.613733;-0.137870
899.000000;0.617157;-0.133282
900.000000;0.613498;-0.131087
901.000000;0.606566;-0.127428
902.000000;0.609158;-0.131661
903.000000;0.609219;-0.135023
904.000000;0.608991;-0.137986
905.000000;0.612175;-0.136641
906.000000;0.612579;-0.135437
907.000000;0.612061;-0.130902
908.000000;0.612463;-0.130282
909.000000;0.610241;-0.131703
910.000000;0.607639;-0.129520
911.000000;0.610089;-0.129209
912.000000;0.608001;-0.133705
913.000000;0.611503;-0.127686
914.000000;0.611237;-0.129012
915.000000;0.612033;-0.133816
916.000000;0.611216;-0.133199
917.000000;0.608630;-0.130365
918.000000;0.610776;-0.132010
919.000000;0.613342;-0.133109
920.000000;0.615453;-0.128878
921.000000;0.615196;-0.132743
922.000000;0.610981;-0.131528
923.000000;0.609972;-0.134026
924.000000;0.611335;-0.130147
925.000000;0.610324;-0.133662
926.000000;0.608198;-0.132842
927.000000;0.610300;-0.134203
928.000000;0.610434;-0.134390
929.000000;0.610185;-0.132433
930.000000;0.610752;-0.131970
931.000000;0.608203;-0.130814
932.000000;0.608771;-0.129890
933.000000;0.609882;-0.133504
934.000000;0.606917;-0.133144
935.000000;0.607830;-0.132948
936.000000;0.608499;-0.132759
937.000000;0.611215;-0.131504
938.000000;0.611924;-0.134432
939.000000;0.611644;-0.130779
940.000000;0.611145;-0.128240
941.000000;0.611162;-0.132216
942.000000;0.608567;-0.130256
943.000000;0.611854;-0.132007
944.000000;0.612843;-0.133201
945.000000;0.611536;-0.131158
946.000000;0.611536;-0.131993
947.000000;0.611203;-0.133539
948.000000;0.608253;-0.135275
949.000000;0.608691;-0.133312
950.000000;0.609405;-0.134622
951.000000;0.607985;-0.136536
952.000000;0.610874;-0.133760
953.000000;0.610471;-0.133577
954.000000;0.610756;-0.138001
955.000000;0.611657;-0.134860
956.000000;0.609330;-0.135354
957.000000;0.608011;-0.132950
958.000000;0.607801;-0.133543
959.000000;0.609346;-0.134157
960.000000;0.609184;-0.133487
961.000000;0.606996;-0.133407
962.000000;0.606933;-0.132048
963.000000;0.610676;-0.132769
964.000000;0.608268;-0.135346
965.000000;0.608821;-0.134886
966.000000;0.609655;-0.131704
967.000000;0.610419;-0.131627
