frequency f in Hz; re(r) ; im(r)
461.000000;0.653333;-0.345710
462.000000;0.642494;-0.361757
463.000000;0.633239;-0.363713
464.000000;0.636867;-0.365460
465.000000;0.643223;-0.358320
466.000000;0.655061;-0.357977
467.000000;0.651455;-0.350824
468.000000;0.650052;-0.350829
469.000000;0.650398;-0.358935
470.000000;0.638354;-0.363603
471.000000;0.635610;-0.357727
472.000000;0.648282;-0.366764
473.000000;0.649116;-0.366661
474.000000;0.654153;-0.372122
475.000000;0.654350;-0.361545
476.000000;0.647224;-0.362905
477.000000;0.639935;-0.366018
478.000000;0.637971;-0.368790
479.000000;0.632392;-0.374535
480.000000;0.631902;-0.367713
481.000000;0.640329;-0.362205
482.000000;0.628083;-0.358994
483.000000;0.631818;-0.361810
484.000000;0.630721;-0.352720
485.000000;0.626611;-0.347981
486.000000;0.628506;-0.355138
487.000000;0.635805;-0.354215
488.000000;0.635760;-0.351059
489.000000;0.622989;-0.354692
490.000000;0.617541;-0.360648
491.000000;0.630441;-0.363393
492.000000;0.627165;-0.360173
493.000000;0.622182;-0.356638
494.000000;0.633025;-0.361313
495.000000;0.630868;-0.356415
496.000000;0.621511;-0.351669
497.000000;0.622389;-0.357431
498.000000;0.624503;-0.361446
499.000000;0.622852;-0.354656
500.000000;0.626487;-0.356352
501.000000;0.627871;-0.355608
502.000000;0.622831;-0.358550
503.000000;0.620098;-0.356952
504.000000;0.612746;-0.358582
505.000000;0.610666;-0.356446
506.000000;0.616986;-0.354309
507.000000;0.617965;-0.357949
508.000000;0.624280;-0.360530
509.000000;0.620606;-0.354334
510.000000;0.617759;-0.358743
511.000000;0.615772;-0.358383
512.000000;0.610719;-0.349363
513.000000;0.614220;-0.351632
514.000000;0.612147;-0.352997
515.000000;0.611074;-0.352686
516.000000;0.608889;-0.353343
517.000000;0.607675;-0.357274
518.000000;0.609053;-0.353636
519.000000;0.605893;-0.352124
520.000000;0.601052;-0.351530
521.000000;0.606177;-0.357332
522.000000;0.609223;-0.353918
523.000000;0.609398;-0.354417
524.000000;0.611064;-0.354244
525.000000;0.605633;-0.356827
526.000000;0.602198;-0.353404
