Frequency in Hz	Acrylic_99 Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99 Normalized Surface Impedance continuous Im	
1356,25	0,345733493566513	1356,25	-1,23405623435974	
1359,375	0,346902459859848	1359,375	-1,23002207279205	
1362,5	0,349348247051239	1362,5	-1,22754883766174	
1365,625	0,339411735534668	1365,625	-1,22213089466095	
1368,75	0,348034828901291	1368,75	-1,21518456935883	
1371,875	0,356132507324219	1371,875	-1,21333110332489	
1375	0,35266900062561	1375	-1,20688879489899	
1378,125	0,3479905128479	1378,125	-1,20408141613007	
1381,25	0,34757786989212	1381,25	-1,19796943664551	
1384,375	0,350076824426651	1384,375	-1,19408166408539	
1387,5	0,34920671582222	1387,5	-1,19137477874756	
1390,625	0,350507169961929	1390,625	-1,18693566322327	
1393,75	0,349565088748932	1393,75	-1,18493688106537	
1396,875	0,349442601203918	1396,875	-1,17944478988647	
1400	0,345852226018906	1400	-1,17568206787109	
1403,125	0,347568541765213	1403,125	-1,17037415504456	
1406,25	0,34916689991951	1406,25	-1,16723120212555	
1409,375	0,349040955305099	1409,375	-1,15976750850677	
1412,5	0,346215784549713	1412,5	-1,16137671470642	
1415,625	0,345788240432739	1415,625	-1,15621089935303	
1418,75	0,343642145395279	1418,75	-1,14842021465302	
1421,875	0,338307321071625	1421,875	-1,14894580841064	
1425	0,342904210090637	1425	-1,1446692943573	
1428,125	0,347819983959198	1428,125	-1,13866686820984	
1431,25	0,347208440303802	1431,25	-1,13598358631134	
1434,375	0,344140708446503	1434,375	-1,12985897064209	
1437,5	0,345956891775131	1437,5	-1,12847781181335	
1440,625	0,344095170497894	1440,625	-1,12375867366791	
1443,75	0,344322770833969	1443,75	-1,11992502212524	
1446,875	0,341967672109604	1446,875	-1,11437153816223	
1450	0,346164256334305	1450	-1,1105409860611	
1453,125	0,347137898206711	1453,125	-1,10846626758575	
1456,25	0,345405966043472	1456,25	-1,10186386108398	
1459,375	0,341741412878037	1459,375	-1,10626864433289	
1462,5	0,343494474887848	1462,5	-1,0957328081131	
1465,625	0,342317700386047	1465,625	-1,09015643596649	
1468,75	0,338904678821564	1468,75	-1,08644127845764	
1471,875	0,338166832923889	1471,875	-1,07958912849426	
1475	0,341615110635757	1475	-1,082111120224	
1478,125	0,341790825128555	1478,125	-1,08022379875183	
1481,25	0,335308700799942	1481,25	-1,07458758354187	
1484,375	0,336570888757706	1484,375	-1,06800198554993	
1487,5	0,338624864816666	1487,5	-1,06569683551788	
1490,625	0,339467734098434	1490,625	-1,059650182724	
1493,75	0,34174656867981	1493,75	-1,05902862548828	
1496,875	0,336828589439392	1496,875	-1,05561518669128	
1500	0,332513332366943	1500	-1,05325424671173	
1503,125	0,336414873600006	1503,125	-1,04984295368195	
1506,25	0,346856266260147	1506,25	-1,040167927742	
1509,375	0,342055708169937	1509,375	-1,03737127780914	
1512,5	0,336768478155136	1512,5	-1,03708803653717	
1515,625	0,336050808429718	1515,625	-1,0341569185257	
1518,75	0,333601206541061	1518,75	-1,02660238742828	
1521,875	0,334479331970215	1521,875	-1,02636802196503	
1525	0,331311285495758	1525	-1,02066266536713	
1528,125	0,33412954211235	1528,125	-1,01626181602478	
1531,25	0,334023833274841	1531,25	-1,01427352428436	
1534,375	0,336611211299896	1534,375	-1,00859928131104	
1537,5	0,336125522851944	1537,5	-1,00876152515411	
1540,625	0,334496557712555	1540,625	-1,00780212879181	
1543,75	0,336785703897476	1543,75	-1,00027918815613	
1546,875	0,335633635520935	1546,875	-0,994925618171692	
1550	0,331780940294266	1550	-0,992893278598785	
1553,125	0,334091514348984	1553,125	-0,989127457141876	
1556,25	0,329953461885452	1556,25	-0,990811765193939	
1559,375	0,331210792064667	1559,375	-0,979875326156616	
1562,5	0,33338251709938	1562,5	-0,979095160961151	
1565,625	0,333144962787628	1565,625	-0,976715624332428	
1568,75	0,338232576847076	1568,75	-0,972924828529358	
1571,875	0,333065181970596	1571,875	-0,972612082958221	
1575	0,329113632440567	1575	-0,969754159450531	
1578,125	0,334127992391586	1578,125	-0,965422928333282	
1581,25	0,330595552921295	1581,25	-0,956136345863342	
1584,375	0,333387166261673	1584,375	-0,956188499927521	
1587,5	0,333643466234207	1587,5	-0,952826201915741	
1590,625	0,330633670091629	1590,625	-0,951106369495392	
1593,75	0,328960001468658	1593,75	-0,953368842601776	
1596,875	0,327343225479126	1596,875	-0,945615291595459	
1600	0,325248211622238	1600	-0,941915690898895	
1603,125	0,327432483434677	1603,125	-0,932863593101501	
1606,25	0,324751436710358	1606,25	-0,937153398990631	
1609,375	0,323790848255157	1609,375	-0,922104835510254	
1612,5	0,330675631761551	1612,5	-0,921914160251617	
1615,625	0,331724166870117	1615,625	-0,919818639755249	
1618,75	0,327059984207153	1618,75	-0,908269345760345	
1621,875	0,325552821159363	1621,875	-0,913793861865997	
1625	0,332376837730408	1625	-0,913617491722107	
1628,125	0,330043017864227	1628,125	-0,910323917865753	
1631,25	0,333050042390823	1631,25	-0,898580312728882	
1634,375	0,324658066034317	1634,375	-0,89711594581604	
1637,5	0,332396149635315	1637,5	-0,892722308635712	
1640,625	0,321160733699799	1640,625	-0,89281439781189	
1643,75	0,320072561502457	1643,75	-0,883072257041931	
1646,875	0,321478575468063	1646,875	-0,885765433311462	
1650	0,325130581855774	1650	-0,881172239780426	
1653,125	0,325982183218002	1653,125	-0,875905811786652	
1656,25	0,323736071586609	1656,25	-0,87942236661911	
1659,375	0,323790788650513	1659,375	-0,874030530452728	
1662,5	0,325065582990646	1662,5	-0,872821092605591	
1665,625	0,326362133026123	1665,625	-0,87090790271759	
1668,75	0,3273766040802	1668,75	-0,859993815422058	
1671,875	0,326554983854294	1671,875	-0,854385435581207	
1675	0,320592373609543	1675	-0,857326924800873	
1678,125	0,321178197860718	1678,125	-0,850236415863037	
1681,25	0,321489095687866	1681,25	-0,85068690776825	
1684,375	0,3212810754776	1684,375	-0,846790611743927	
1687,5	0,325229912996292	1687,5	-0,838616013526917	
1690,625	0,324334055185318	1690,625	-0,838660895824432	
1693,75	0,32515412569046	1693,75	-0,831673800945282	
1696,875	0,323496848344803	1696,875	-0,832252323627472	
1700	0,320751219987869	1700	-0,826898455619812	
1703,125	0,320803165435791	1703,125	-0,825284421443939	
1706,25	0,321845859289169	1706,25	-0,8254554271698	
1709,375	0,319905608892441	1709,375	-0,821409344673157	
1712,5	0,323399871587753	1712,5	-0,819788575172424	
1715,625	0,322973042726517	1715,625	-0,81428998708725	
1718,75	0,324261695146561	1718,75	-0,812229156494141	
