Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_HF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Im	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_HF Sound Reflection Factor continuous Im	
281,25	0,71481990814209	737,5	0,836390376091003	737,5	0,807833254337311	281,25	0,94268810749054	281,25	0,936655700206757	737,5	0,773693978786469	281,25	-0,197081163525581	737,5	0,0967951416969299	737,5	-0,573231637477875	281,25	-0,265710055828094	281,25	-0,292073607444763	737,5	-0,626041829586029	
284,375	0,708459794521332	740,625	0,834545969963074	740,625	0,800453007221222	284,375	0,942968130111694	284,375	0,936840116977692	740,625	0,765800058841705	284,375	-0,193205937743187	740,625	0,0946429818868637	740,625	-0,575925529003143	284,375	-0,268222242593765	284,375	-0,294816702604294	740,625	-0,628474831581116	
287,5	0,708904027938843	743,75	0,833234667778015	743,75	0,794925332069397	287,5	0,956920862197876	287,5	0,951026618480682	743,75	0,759386003017426	287,5	-0,191522106528282	743,75	0,0935809388756752	743,75	-0,579793930053711	287,5	-0,267762035131454	287,5	-0,294047653675079	743,75	-0,632532179355621	
290,625	0,692027807235718	746,875	0,836765587329865	746,875	0,798236966133118	290,625	0,941320478916168	290,625	0,93449068069458	746,875	0,76194304227829	290,625	-0,192957803606987	746,875	0,0920435190200806	746,875	-0,588443458080292	290,625	-0,286424309015274	290,625	-0,313067555427551	746,875	-0,641794085502625	
293,75	0,688755989074707	750	0,834624707698822	750	0,798142313957214	293,75	0,944166660308838	293,75	0,93725198507309	750	0,761980354785919	293,75	-0,185859397053719	750	0,0918355286121368	750	-0,588897705078125	293,75	-0,284793585538864	293,75	-0,311723619699478	750	-0,642660915851593	
296,875	0,680528402328491	753,125	0,833456635475159	753,125	0,796574115753174	296,875	0,939056515693665	296,875	0,930920481681824	753,125	0,760468780994415	296,875	-0,179056316614151	753,125	0,0923980250954628	753,125	-0,587278366088867	296,875	-0,286378979682922	296,875	-0,31281977891922	753,125	-0,640644311904907	
300	0,674683034420013	756,25	0,83399224281311	756,25	0,793303668498993	300	0,932032644748688	300	0,90470165014267	756,25	0,757345080375671	300	-0,172805234789848	756,25	0,0914582386612892	756,25	-0,588531494140625	300	-0,272478103637695	300	-0,324123293161392	756,25	-0,641627073287964	
303,125	0,665341854095459	759,375	0,829533219337463	759,375	0,791858315467834	303,125	0,928135395050049	303,125	0,923986256122589	759,375	0,757080495357513	303,125	-0,169638454914093	759,375	0,089925117790699	759,375	-0,58519059419632	303,125	-0,301618456840515	303,125	-0,329836308956146	759,375	-0,638336479663849	
306,25	0,657408118247986	762,5	0,832109808921814	762,5	0,795047163963318	306,25	0,927370548248291	306,25	0,920174956321716	762,5	0,759627044200897	306,25	-0,162611737847328	762,5	0,0921385735273361	762,5	-0,588806748390198	306,25	-0,303476184606552	306,25	-0,331654697656631	762,5	-0,642569839954376	
309,375	0,649607360363007	765,625	0,829772651195526	765,625	0,790364265441895	309,375	0,922651708126068	309,375	0,914972841739655	765,625	0,75441312789917	309,375	-0,154427602887154	765,625	0,0925045311450958	765,625	-0,590544760227203	309,375	-0,303094804286957	309,375	-0,331664085388184	765,625	-0,643922746181488	
312,5	0,638701856136322	768,75	0,828786253929138	768,75	0,786293268203735	312,5	0,912006855010986	312,5	0,904141187667847	768,75	0,749601066112518	312,5	-0,147355616092682	768,75	0,0879781320691109	768,75	-0,599456906318665	312,5	-0,311757594347	312,5	-0,339964151382446	768,75	-0,653070628643036	
315,625	0,630947887897491	771,875	0,827264547348022	771,875	0,781032741069794	315,625	0,901673197746277	315,625	0,893710434436798	771,875	0,743335425853729	315,625	-0,129607930779457	771,875	0,0878802910447121	771,875	-0,601978778839111	315,625	-0,295828014612198	315,625	-0,324006795883179	771,875	-0,655722796916962	
