Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Im	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Im	
256,25	3,67437076568604	712,5	8,06575870513916	712,5	0,0882158353924751	256,25	0,683405458927155	256,25	0,522128760814667	712,5	0,056454811245203	256,25	-4,36523914337158	712,5	5,19908285140991	712,5	-3,20488333702087	256,25	-7,83076906204224	256,25	-7,12770462036133	712,5	-2,88309240341187	
259,375	3,79827570915222	715,625	7,86983203887939	715,625	0,0722813457250595	259,375	0,874117374420166	259,375	0,680009007453918	715,625	0,0423667691648006	259,375	-4,17304277420044	715,625	5,43124437332153	715,625	-3,22779965400696	259,375	-7,886061668396	259,375	-7,17079877853394	715,625	-2,90083026885986	
262,5	3,71134543418884	718,75	7,95823860168457	718,75	0,0615478195250034	262,5	0,64753657579422	262,5	0,493772238492966	718,75	0,0328989736735821	262,5	-4,09750652313232	718,75	5,45950937271118	718,75	-3,21543908119202	262,5	-7,71769428253174	262,5	-7,01977396011353	718,75	-2,89197063446045	
265,625	3,64676380157471	721,875	7,95036554336548	721,875	0,0773046240210533	265,625	0,480911135673523	265,625	0,35734897851944	721,875	0,0462303794920444	265,625	-3,99894332885742	721,875	5,31853771209717	721,875	-3,19388198852539	265,625	-7,55536222457886	265,625	-6,87304735183716	721,875	-2,87512540817261	
268,75	3,75995469093323	725	7,99590539932251	725	0,0540157444775105	268,75	0,59992903470993	268,75	0,453285604715347	725	0,0265405531972647	268,75	-3,8426947593689	725	5,47002935409546	725	-3,17966175079346	268,75	-7,64517021179199	268,75	-6,94186925888062	725	-2,86194968223572	
271,875	3,69332575798035	728,125	8,04149055480957	728,125	0,0752116814255714	271,875	0,599286615848541	271,875	0,458612531423569	728,125	0,0434112064540386	271,875	-3,65706920623779	728,125	5,31136035919189	728,125	-3,15742874145508	271,875	-7,36977291107178	271,875	-6,70391654968262	728,125	-2,84216737747192	
275	3,7121946811676	731,25	8,02802562713623	731,25	0,0605035685002804	275	0,454647600650787	275	0,335235595703125	731,25	0,0313332267105579	275	-3,58856654167175	731,25	5,37653064727783	731,25	-3,15335083007813	275	-7,38387680053711	275	-6,70874834060669	731,25	-2,83722472190857	
278,125	3,69165253639221	734,375	8,02723217010498	734,375	0,0623289830982685	278,125	0,559066534042358	278,125	0,426808685064316	734,375	0,0313421189785004	278,125	-3,39269185066223	734,375	5,28727388381958	734,375	-3,14173245429993	278,125	-7,16754913330078	278,125	-6,52429437637329	734,375	-2,8277313709259	
281,25	3,74633026123047	737,5	8,0548620223999	737,5	0,0514631122350693	281,25	0,551349580287933	281,25	0,41837540268898	737,5	0,0213683806359768	281,25	-3,28007555007935	737,5	5,35706043243408	737,5	-3,13650465011597	281,25	-7,19238567352295	281,25	-6,53997468948364	737,5	-2,82546329498291	
284,375	3,76667976379395	740,625	8,10781288146973	740,625	0,0742506459355354	284,375	0,516889691352844	284,375	0,389563500881195	740,625	0,0412815250456333	284,375	-3,15891528129578	740,625	5,20984935760498	740,625	-3,10046410560608	284,375	-7,13396835327148	284,375	-6,48618412017822	740,625	-2,79427552223206	
287,5	3,79495596885681	743,75	8,12081718444824	743,75	0,084429532289505	287,5	0,171387165784836	287,5	0,102229751646519	743,75	0,0507344678044319	287,5	-3,15476775169373	743,75	5,11817741394043	743,75	-3,06593585014343	287,5	-7,28085899353027	287,5	-6,61804294586182	743,75	-2,76219701766968	
290,625	3,66343379020691	746,875	8,29647636413574	746,875	0,0427731610834599	290,625	0,37290695309639	290,625	0,280694454908371	746,875	0,0160981360822916	290,625	-2,92184138298035	746,875	5,24203538894653	746,875	-3,04125547409058	290,625	-6,70138120651245	290,625	-6,12041282653809	746,875	-2,73936891555786	
293,75	3,73675489425659	750	8,24329662322998	750	0,0417196564376354	293,75	0,325817853212357	293,75	0,241196766495705	750	0,0135688846930861	293,75	-2,82855343818665	750	5,13295030593872	750	-3,03910326957703	293,75	-6,76270580291748	293,75	-6,16609477996826	750	-2,73666977882385	
296,875	3,76385045051575	753,125	8,18249797821045	753,125	0,0532616302371025	296,875	0,421802788972855	296,875	0,346208930015564	753,125	0,02407456189394	296,875	-2,67002606391907	753,125	5,09443712234497	753,125	-3,04070329666138	296,875	-6,68118333816528	296,875	-6,0961766242981	753,125	-2,73896479606628	
300	3,7949047088623	756,25	8,24237442016602	756,25	0,0624530091881752	300	0,72366201877594	300	0,669884264469147	756,25	0,0313306339085102	300	-2,54700708389282	756,25	5,09187889099121	756,25	-3,02514791488647	300	-6,9100866317749	300	-5,67951393127441	756,25	-2,72703981399536	
