Frequency in Hz	Ref_Specimen_HF Sound Absorption Coefficient continuous	Frequency in Hz	Ref_Specimen_LF Sound Absorption Coefficient continuous	Frequency in Hz	Ref_Specimen_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Ref_Specimen_LF Sound Absorption Coefficient 1/3-octave	
2331,25	0,324874476352521							
2334,375	0,328664206543112							
2337,5	0,331565737463972							
2340,625	0,326512879179405							
2343,75	0,320032962262532							
2346,875	0,326945556948877							
2350	0,325329593986449							
2353,125	0,329468383324499							
2356,25	0,330092655039156							
2359,375	0,325136617702218							
2362,5	0,329929877547546							
2365,625	0,336803185221049							
2368,75	0,327440854041479							
2371,875	0,328127789755452							
2375	0,331069557811338							
2378,125	0,330624107230681							
2381,25	0,330535651674992							
2384,375	0,333870567043828							
2387,5	0,329271680211968							
2390,625	0,331501848565255							
2393,75	0,327211954400465							
2396,875	0,329878001555234							
2400	0,335363176599956							
2403,125	0,333669463149603							
2406,25	0,336889431005413							
2409,375	0,335228984314873							
2412,5	0,333262877389269							
2415,625	0,332262564921797							
2418,75	0,333600803192016							
2421,875	0,328609490760019							
2425	0,328500815681364							
2428,125	0,332832753948335							
2431,25	0,336951810517117							
2434,375	0,334812285302486							
2437,5	0,331430361767346							
2440,625	0,334946288010943							
2443,75	0,3327194048302							
2446,875	0,334314462344237							
2450	0,332060457924179							
2453,125	0,330449971618195							
2456,25	0,335315558040198							
2459,375	0,332325158458006							
2462,5	0,327175492653425							
2465,625	0,333344396681304							
2468,75	0,337474441733033							
2471,875	0,331895535608681							
2475	0,333695471038158							
2478,125	0,333178248126913							
2481,25	0,331512191752385							
2484,375	0,336941403487212							
2487,5	0,337087819268632							
2490,625	0,328895845424384							
2493,75	0,32936516506249							
2496,875	0,326537556549014							
2500	0,331079866450753							
2503,125	0,335772576795414							
2506,25	0,337269141472022							
2509,375	0,33443905011931							
2512,5	0,33518646825457							
2515,625	0,334028897700856							
2518,75	0,336358662458391							
2521,875	0,334974844674036							
2525	0,331280049615769							
2528,125	0,329765042839049							
2531,25	0,33199302493976							
2534,375	0,340045274888086							
2537,5	0,332769584016677							
2540,625	0,333078250909854							
2543,75	0,334421785402741							
2546,875	0,335467789304315							
2550	0,341084525834279							
2553,125	0,339021795622297							
2556,25	0,33641699435256							
2559,375	0,336835415414749							
2562,5	0,339925217188073							
2565,625	0,34105297283277							
2568,75	0,335570290996656							
2571,875	0,336659451051508							
2575	0,337327275484328							
2578,125	0,337426255753543							
2581,25	0,332616698567822							
2584,375	0,330979171621853							
2587,5	0,338949530310076							
2590,625	0,336731828743883							
2593,75	0,331735949900228							
2596,875	0,335346356095457							
2600	0,342392078878779							
2603,125	0,344933125418008							
2606,25	0,34583941821516							
2609,375	0,350829033659956							
2612,5	0,353707683225419							
2615,625	0,348162502124774							
2618,75	0,34391053428771							
2621,875	0,352972971031332							
2625	0,350057308973608							
2628,125	0,34936878636335							
2631,25	0,346249584518717							
2634,375	0,359909815767103							
2637,5	0,360570750891832							
2640,625	0,356584274981098							
2643,75	0,356531741580557							
2646,875	0,353718912894315							
2650	0,357477874512684							
2653,125	0,355050193836011							
2656,25	0,350667118153088							
2659,375	0,359125790716269							
2662,5	0,360962107891259							
2665,625	0,359731118185834							
2668,75	0,365134336372081							
2671,875	0,35827164515735							
2675	0,353711547127291							
2678,125	0,359759997728279							
2681,25	0,35964250922857							
2684,375	0,359994558980556							
2687,5	0,360401986088002							
2690,625	0,36151609134604							
2693,75	0,358523077932101							
2696,875	0,355461757967979							
2700	0,364599110591315							
2703,125	0,365153881682208							
2706,25	0,364294490005791							
2709,375	0,363155769612869							
2712,5	0,364642368295335							
2715,625	0,365677776788692							
2718,75	0,365913031225868							
2721,875	0,36649970760294							
2725	0,365097888682149							
2728,125	0,365586155410667							
2731,25	0,364935038070685							
2734,375	0,363863689588341							
2737,5	0,367410104697482							
2740,625	0,36906930062458							
2743,75	0,369704771138763							
2746,875	0,370290552582101							
2750	0,36520573998307							
2753,125	0,366396436100659							
2756,25	0,369930436885033							
2759,375	0,372632148049828							
2762,5	0,373860501405734							
2765,625	0,37309470820053							
2768,75	0,369911912085402							
2771,875	0,372737962224859							
2775	0,374849020323247							
2778,125	0,375483300419001							
2781,25	0,378784282360272							
2784,375	0,376507067788954							
2787,5	0,374712664551378							
2790,625	0,374404204528133							
2793,75	0,376658334208704							
2796,875	0,373835705949958							
2800	0,372221883985094							
2803,125	0,376350947106184							
2806,25	0,375567439556158							
2809,375	0,376633266980783							
2812,5	0,379695026125215							
2815,625	0,381671754775539							
2818,75	0,378787624547384							
2821,875	0,382274552182639							
2825	0,385407148972342							
2828,125	0,383196909382202							
2831,25	0,384924236152665							
2834,375	0,382039573612344							
2837,5	0,38447406073557							
2840,625	0,387255615478963							
2843,75	0,385048805803059							
2846,875	0,386777508699354							
2850	0,388200511534435							
2853,125	0,391256269776768							
2856,25	0,390047952637542							
2859,375	0,391916602523201							
2862,5	0,390943264679725							
2865,625	0,392754381154863							
2868,75	0,391330830465885							
2871,875	0,393740361628288							
2875	0,394264499318508							
2878,125	0,393990707331552							
2881,25	0,396990564331781							
2884,375	0,398365974667924							
2887,5	0,399361014683747							
2890,625	0,399217324646572							
2893,75	0,39644930690875							
2896,875	0,402608767598716							
2900	0,401406247894516							
2903,125	0,401606010764276							
2906,25	0,400808372391161							
2909,375	0,400837671166546							
2912,5	0,401467350877493							
