Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_HF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_HF Sound Absorption Coefficient 1/3-octave	
309,375	0,554162377957964	765,625	0,302920299556573	765,625	0,026581202740908	309,375	0,0568473331232278	309,375	0,0528236609509249	765,625	0,0162243373433204													
312,5	0,570346268496771	768,75	0,30537317585185	768,75	0,0223942934434063	312,5	0,071050647988104	312,5	0,0669530902376274	768,75	0,011596968123196													
315,625	0,585106552283884	771,875	0,307910414006604	771,875	0,0276094388437201	315,625	0,099471255403087	315,625	0,0963013029086692	771,875	0,0174799983494531													
318,75	0,593119275648825	775	0,307632848886059	775	0,0227892350084158	318,75	0,0990281296885955	318,75	0,0959093279897362	775	0,0113213545152809													
321,875	0,592143530825785	778,125	0,30965260425367	778,125	0,0282804125123244	321,875	0,0845407146193105	321,875	0,0817480399984839	778,125	0,0173182053687804													
325	0,591499243256716	781,25	0,309037424516569	781,25	0,0260667399952048	325	0,0813719886104797	325	0,0786044035689706	781,25	0,0162172914363214													
328,125	0,595671466256472	784,375	0,311235835871063	784,375	0,0299822348716232	328,125	0,0884494808403858	328,125	0,0855030816764243	784,375	0,0209270724528623													
331,25	0,590080025700877	787,5	0,309978048156349	787,5	0,0272228293376457	331,25	0,0614844867048597	331,25	0,0574910013668812	787,5	0,018973172339759													
334,375	0,591706619968503	790,625	0,311562629601601	790,625	0,0274516342478439	334,375	0,0547400251106709	334,375	0,0512719048944845	790,625	0,017772003258367													
337,5	0,594731670308387	793,75	0,317204360485467	793,75	0,0268490402428465	337,5	0,0592880510693774	337,5	0,0560654948654218	793,75	0,0160712742994433													
340,625	0,593961959616918	796,875	0,319086782979181	796,875	0,0203969883599499	340,625	0,047895073287426	340,625	0,0442106948518419	796,875	0,00810035348341676													
343,75	0,596462153021008	800	0,320277236989503	800	0,0187624104211825	343,75	0,0526857416593866	343,75	0,0483999350749591	800	0,00675288344408265													
346,875	0,593505972461839	803,125	0,321031492011834	803,125	0,00798290515530353	346,875	0,0494134299057046	346,875	0,0448464580492316	803,125	-0,00526220963211932													
350	0,595381474588602	806,25	0,319477641568135	806,25	0,017886826763039	350	0,0510651790599947	350	0,0470935943981788	806,25	0,00799122447984812													
353,125	0,591620899753303	809,375	0,319899590452004	809,375	0,0225661119317422	353,125	0,0457443427270622	353,125	0,0423411753387611	809,375	0,0153294773181012													
356,25	0,586672561041804	812,5	0,324273487899945	812,5	0,021546813436413	356,25	0,0319687775808772	356,25	0,0276200941165923	812,5	0,0113630371780438													
359,375	0,587043672466384	815,625	0,326842205657097	815,625	0,0231421358803817	359,375	0,0301139873615665	359,375	0,0261101249747501	815,625	0,00941832431368361													
362,5	0,588130740824217	818,75	0,32579001785513	818,75	0,0290769776028093	362,5	0,0361487429749214	362,5	0,0321583411397973	818,75	0,0191538356310539													
365,625	0,584330881092217	821,875	0,333947992955226	821,875	0,0293797229479424	365,625	0,0568723869199663	365,625	0,052930602990085	821,875	0,0202935600370819													
368,75	0,577302745271835	825	0,341433645840195	825	0,017357674275583	368,75	0,0326335678876672	368,75	0,0280313002850258	825	0,00632401399567961													
371,875	0,564740167081183	828,125	0,342263514962907	828,125	0,0171167466521489	371,875	0,000563120315007382	371,875	-0,00379423922843491	828,125	0,0058358807171045													
375	0,581296228610292	831,25	0,364554738925228	831,25	0,058436772205648	375	0,0647737158739997	375	0,0652861315612762	831,25	0,0443498931658015													
378,125	0,570722902491614	834,375	0,338207170086268	834,375	0,0504374037861366	378,125	0,0553360110733703	378,125	0,0535621293221642	834,375	0,0389855992707736													
381,25	0,559632291630744	837,5	0,332432171300627	837,5	0,0308367296370096	381,25	0,0345650531408778	381,25	0,0291851990716616	837,5	0,0209044985000502													
384,375	0,563147678592777	840,625	0,33749918599579	840,625	0,0262458878523807	384,375	0,0630890306036352	384,375	0,0604979624097464	840,625	0,0178179254908477													
387,5	0,55764972528981	843,75	0,339527515546734	843,75	0,0358380692830094	387,5	0,0483622825575775	387,5	0,0463595786512064	843,75	0,0263842007188358													
390,625	0,54551768764399	846,875	0,331826449627605	846,875	0,0240075398076416	390,625	0,030504613160915	390,625	0,028334280442776	846,875	0,0147763788435183													
393,75	0,534825163564141	850	0,332209804138179	850	0,0132437376574338	393,75	0,0294669445804442	393,75	0,0244397325445175	850	0,00410177409814572													
396,875	0,528805194236091	853,125	0,339652755938503	853,125	0,00608548632290329	396,875	0,0307967260523786	396,875	0,0248705604208194	853,125	-0,00194430653770739													
400	0,524020390213453	856,25	0,351185415414282	856,25	0,0267029424872272	400	0,0324049212587472	400	0,0257916865766228	856,25	0,0156075617701023													
403,125	0,520474959390109	859,375	0,35446647268984	859,375	0,0381582769370029	403,125	0,0314586498458389	403,125	0,0246331150804613	859,375	0,0265437645091045													
406,25	0,517565142602788	862,5	0,349572833584762	862,5	0,0307473334132129	406,25	0,0530879858805119	406,25	0,0453648603219819	862,5	0,0210251581793133													
409,375	0,52157722069713	865,625	0,346244887986963	865,625	0,0264068610386528	409,375	0,0625105600858312	409,375	0,0597645148584069	865,625	0,0167661853668422													
412,5	0,510465773813621	868,75	0,341033333003858	868,75	0,0211092342613286	412,5	0,0595212334419842	412,5	0,0572464264184258	868,75	0,0117021311392966													
