Frequency in Hz	Ref_Specimen_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Ref_Specimen_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Ref_Specimen_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Ref_Specimen_LF Normalized Surface Impedance continuous Im	
1196,875	5,75177669525146	740,625	9,49186420440674	1196,875	4,10834312438965	740,625	-0,794762134552002	
1200	5,71825218200684	743,75	9,48006820678711	1200	4,17923498153687	743,75	-0,760002791881561	
1203,125	5,68262386322021	746,875	9,54866886138916	1203,125	4,13102579116821	746,875	-0,730553030967712	
1206,25	5,62504720687866	750	9,38215732574463	1206,25	4,15013790130615	750	-0,836083352565765	
1209,375	5,58200454711914	753,125	9,33611583709717	1209,375	4,0764217376709	753,125	-0,775066077709198	
1212,5	5,59282732009888	756,25	9,31804370880127	1212,5	4,05700445175171	756,25	-0,737143814563751	
1215,625	5,50829887390137	759,375	9,45703887939453	1215,625	4,12163829803467	759,375	-0,765789210796356	
1218,75	5,5071496963501	762,5	9,37874984741211	1218,75	4,11000108718872	762,5	-0,755169689655304	
1221,875	5,48512411117554	765,625	9,31081104278564	1221,875	4,12443542480469	765,625	-0,718789517879486	
1225	5,43612241744995	768,75	9,17549228668213	1225	4,24910402297974	768,75	-0,712433934211731	
1228,125	5,42552328109741	771,875	9,21800518035889	1228,125	4,05355215072632	771,875	-0,841048061847687	
1231,25	5,3022313117981	775	9,33400917053223	1231,25	4,06947708129883	775	-0,691417634487152	
1234,375	5,23689317703247	778,125	9,12400913238525	1234,375	4,12699317932129	778,125	-0,598448276519775	
1237,5	5,22287702560425	781,25	9,28467845916748	1237,5	4,18204832077026	781,25	-0,640528857707977	
1240,625	5,27576065063477	784,375	9,3469877243042	1240,625	4,24271392822266	784,375	-0,792445421218872	
1243,75	5,25728321075439	787,5	9,02491188049316	1243,75	4,19314908981323	787,5	-0,742107570171356	
1246,875	5,22313833236694	790,625	9,24866008758545	1246,875	4,29440116882324	790,625	-0,599126636981964	
1250	5,22636222839355	793,75	9,18980979919434	1250	4,15638971328735	793,75	-0,505337297916412	
1253,125	5,16807270050049	796,875	9,23455047607422	1253,125	4,17940950393677	796,875	-0,62714022397995	
1256,25	5,09952259063721	800	9,30440807342529	1256,25	4,23230981826782	800	-0,619736313819885	
1259,375	5,04667091369629	803,125	9,09824180603027	1259,375	4,17640924453735	803,125	-0,250851035118103	
1262,5	5,14754486083984	806,25	9,2559289932251	1262,5	4,07934808731079	806,25	-0,254195690155029	
1265,625	5,09711360931396	809,375	9,43876266479492	1265,625	4,23947286605835	809,375	-0,298194855451584	
1268,75	5,07284116744995	812,5	9,37575054168701	1268,75	4,1719822883606	812,5	-0,409981042146683	
1271,875	5,05800676345825	815,625	9,3143482208252	1271,875	4,20868587493896	815,625	-0,45330947637558	
1275	5,01030158996582	818,75	9,58836460113525	1275	4,30245971679688	818,75	-0,396090030670166	
1278,125	4,92525005340576	821,875	9,32368659973145	1278,125	4,27207183837891	821,875	-0,332374691963196	
1281,25	4,95927143096924	825	9,38837814331055	1281,25	4,20631742477417	825	-0,442405521869659	
1284,375	4,90412712097168	828,125	9,30949783325195	1284,375	4,28052854537964	828,125	-0,603636145591736	
1287,5	4,91972017288208	831,25	9,19282722473145	1287,5	4,30949401855469	831,25	-0,571713745594025	
1290,625	4,90245008468628	834,375	9,30234432220459	1290,625	4,33102130889893	834,375	-0,333512037992477	
1293,75	4,85428380966187	837,5	9,38610649108887	1293,75	4,26746988296509	837,5	-0,0758071392774582	
1296,875	4,92750310897827	840,625	9,54421329498291	1296,875	4,21060514450073	840,625	-0,272211223840714	
1300	4,89579582214355	843,75	9,86629772186279	1300	4,30533933639526	843,75	-0,461908131837845	
1303,125	4,82682943344116	846,875	10,106616973877	1303,125	4,36361312866211	846,875	-0,432470053434372	
1306,25	4,82692909240723	850	9,94227981567383	1306,25	4,34404420852661	850	-0,607387602329254	
1309,375	4,78104829788208	853,125	9,83028507232666	1309,375	4,43933057785034	853,125	-0,59689199924469	
1312,5	4,7649302482605	856,25	9,6977014541626	1312,5	4,48580932617188	856,25	0,199436351656914	
1315,625	4,80213117599487	859,375	9,20334815979004	1315,625	4,35454750061035	859,375	0,162493348121643	
1318,75	4,73286914825439	862,5	9,39706802368164	1318,75	4,31194734573364	862,5	-0,138034731149673	
1321,875	4,79791784286499	865,625	9,84096813201904	1321,875	4,40011262893677	865,625	-0,117679968476295	
1325	4,64969730377197	868,75	9,95650577545166	1325	4,4211893081665	868,75	-0,36200800538063	
1328,125	4,68601179122925	871,875	10,2094240188599	1328,125	4,27413892745972	871,875	-0,317239820957184	
1331,25	4,74020576477051	875	10,1448411941528	1331,25	4,36826181411743	875	-0,167331516742706	
1334,375	4,66118192672729	878,125	10,292986869812	1334,375	4,46245002746582	878,125	-0,102708660066128	
1337,5	4,70773220062256	881,25	10,1059923171997	1337,5	4,52885818481445	881,25	-0,207975372672081	
1340,625	4,68976068496704			1340,625	4,44916248321533			
1343,75	4,6561107635498			1343,75	4,42189359664917			
1346,875	4,65858602523804			1346,875	4,49578475952148			
1350	4,63042163848877			1350	4,44978809356689			
1353,125	4,67118644714355			1353,125	4,50651264190674			
1356,25	4,71075010299683			1356,25	4,60824489593506			
1359,375	4,66787958145142			1359,375	4,55587196350098			
1362,5	4,64618968963623			1362,5	4,55140113830566			
1365,625	4,6486930847168			1365,625	4,64417886734009			
1368,75	4,64421510696411			1368,75	4,57790994644165			
1371,875	4,54778099060059			1371,875	4,47760772705078			
1375	4,59134435653687			1375	4,49639797210693			
1378,125	4,60908699035645			1378,125	4,56842136383057			
1381,25	4,61793327331543			1381,25	4,53466463088989			
1384,375	4,61711072921753			1384,375	4,49551105499268			
1387,5	4,58929109573364			1387,5	4,51559686660767			
1390,625	4,55206632614136			1390,625	4,52003622055054			
1393,75	4,51293659210205			1393,75	4,52939033508301			
1396,875	4,54968118667603			1396,875	4,51034450531006			
1400	4,55465316772461			1400	4,52184438705444			
1403,125	4,52502965927124			1403,125	4,50697565078735			
1406,25	4,47186231613159			1406,25	4,49508237838745			
1409,375	4,4994044303894			1409,375	4,47988128662109			
1412,5	4,4607949256897			1412,5	4,53351306915283			
1415,625	4,455322265625			1415,625	4,51505899429321			
1418,75	4,47553443908691			1418,75	4,5390043258667			
1421,875	4,44526481628418			1421,875	4,58916997909546			
1425	4,41290521621704			1425	4,52159214019775			
1428,125	4,42045068740845			1428,125	4,460289478302			
1431,25	4,39408302307129			1431,25	4,49091148376465			
1434,375	4,39520502090454			1434,375	4,49466133117676			
1437,5	4,33970642089844			1437,5	4,48191165924072			
1440,625	4,33587265014648			1440,625	4,51917839050293			
1443,75	4,33989810943604			1443,75	4,49058246612549			
1446,875	4,32726716995239			1446,875	4,4932427406311			
