target,target_name,frequency_hz,parameter,base_sample_size,teacher_S1,teacher_ST,teacher_S1_ci_low,teacher_S1_ci_high,teacher_ST_ci_low,teacher_ST_ci_high,mlp_S1,mlp_ST,mlp_minus_teacher_S1,mlp_minus_teacher_ST
re,R_real,787.40157480315,lambda_prime,1024,0.00697574598892703,0.016368288942019,-0.0480549321060511,0.0882059081967899,0.0136034233594955,0.0199544568489877,0.00952819076652567,0.0169866426626571,0.00255244477759864,0.0006183537206381
re,R_real,787.40157480315,k0_prime,1024,0.108001799847208,0.131675756473331,0.0507999850704381,0.183118785001802,0.119251003617251,0.150083938189136,0.105438337344547,0.133641096622584,-0.00256346250266115,0.00196534014925234
re,R_real,825.590551181102,sigma,1024,0.81124435463601,0.858967239816256,0.777303303991946,0.831137246509932,0.783087578772281,0.922380198903183,0.806439269028886,0.857307449288637,-0.004805085607124,-0.00165979052761855
re,R_real,825.590551181102,alpha_infinity,1024,0.0285972995963082,0.0476730011008154,-0.0295732936562665,0.122939231292343,0.0396785202406313,0.0575709624625905,0.0307557698802714,0.0490089058357951,0.00215847028396321,0.00133590473497969
re,R_real,825.590551181102,lambda,1024,0.00938223282463846,0.0272875717840669,-0.0639164242524359,0.0912875149192356,0.0224577580622885,0.0325969207142781,0.0115456556676632,0.0304723163216355,0.00216342284302473,0.00318474453756857
re,R_real,825.590551181102,lambda_prime,1024,0.00622660791410456,0.0145538669108232,-0.0481776459998338,0.0851883702458179,0.0121181076653005,0.0175269685193929,0.00856143024060452,0.0153736816779886,0.00233482232649995,0.000819814767165397
re,R_real,825.590551181102,k0_prime,1024,0.0873017010903543,0.108464545720074,0.0261385987460335,0.162088844875878,0.0982378027722555,0.124131234476212,0.0839956951672715,0.110797630108389,-0.00330600592308283,0.00233308438831507
re,R_real,863.779527559055,sigma,1024,0.838306799637455,0.881784412068893,0.809339377401687,0.855999416565826,0.804354695821927,0.945020526230208,0.834495489181018,0.881477879750705,-0.00381131045643712,-0.000306532318188446
re,R_real,863.779527559055,alpha_infinity,1024,0.0260144811145766,0.0433317533312557,-0.028210872967724,0.120557142761552,0.0362615597092392,0.0525729878971408,0.02767796551475,0.0450666725141308,0.00166348440017339,0.00173491918287517
re,R_real,863.779527559055,lambda,1024,0.00825185087054003,0.0234177744507899,-0.0618227491106271,0.0862570216583111,0.0192218795899001,0.0276942725027016,0.00952843130793313,0.025694326290566,0.00127658043739309,0.00227655183977608
