Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Im	
1409,375	0,655105113983154	1409,375	-0,918811917304993	
1412,5	0,657732546329498	1412,5	-0,915840327739716	
1415,625	0,655659794807434	1415,625	-0,910531640052795	
1418,75	0,654889285564423	1418,75	-0,908068597316742	
1421,875	0,656802773475647	1421,875	-0,904704213142395	
1425	0,656577050685883	1425	-0,902432084083557	
1428,125	0,652039587497711	1428,125	-0,894103765487671	
1431,25	0,65512752532959	1431,25	-0,89319235086441	
1434,375	0,655805468559265	1434,375	-0,888596951961517	
1437,5	0,658179223537445	1437,5	-0,880870878696442	
1440,625	0,658603966236115	1440,625	-0,88464367389679	
1443,75	0,652129590511322	1443,75	-0,8723104596138	
1446,875	0,656894266605377	1446,875	-0,872562289237976	
1450	0,656783044338226	1450	-0,867806196212769	
1453,125	0,657024145126343	1453,125	-0,864601135253906	
1456,25	0,655129134654999	1456,25	-0,858881056308746	
1459,375	0,656744718551636	1459,375	-0,856600046157837	
1462,5	0,659570515155792	1462,5	-0,853143274784088	
1465,625	0,656650006771088	1465,625	-0,850969970226288	
1468,75	0,656388223171234	1468,75	-0,843195140361786	
1471,875	0,654657244682312	1471,875	-0,839809596538544	
1475	0,654302418231964	1475	-0,839662611484528	
1478,125	0,654417932033539	1478,125	-0,834482252597809	
1481,25	0,657813549041748	1481,25	-0,83145546913147	
1484,375	0,655322372913361	1484,375	-0,824065744876862	
1487,5	0,650318801403046	1487,5	-0,824337899684906	
1490,625	0,651061117649078	1490,625	-0,819949209690094	
1493,75	0,649546802043915	1493,75	-0,816310048103333	
1496,875	0,650989234447479	1496,875	-0,816806733608246	
1500	0,647668302059174	1500	-0,806866705417633	
1503,125	0,650070786476135	1503,125	-0,802340030670166	
1506,25	0,653450012207031	1506,25	-0,800324738025665	
1509,375	0,647987961769104	1509,375	-0,793148756027222	
1512,5	0,648190319538116	1512,5	-0,78964775800705	
1515,625	0,645979940891266	1515,625	-0,787102878093719	
1518,75	0,651168644428253	1518,75	-0,782101333141327	
1521,875	0,652783453464508	1521,875	-0,781871676445007	
1525	0,644944787025452	1525	-0,773888051509857	
1528,125	0,652118921279907	1528,125	-0,769322216510773	
1531,25	0,651868164539337	1531,25	-0,76683235168457	
1534,375	0,654207587242126	1534,375	-0,761862277984619	
1537,5	0,64985316991806	1537,5	-0,758978664875031	
1540,625	0,652113258838654	1540,625	-0,758486270904541	
1543,75	0,649878919124603	1543,75	-0,748493015766144	
1546,875	0,653317630290985	1546,875	-0,748267471790314	
1550	0,651472270488739	1550	-0,743137538433075	
1553,125	0,651691854000092	1553,125	-0,742461562156677	
1556,25	0,653173565864563	1556,25	-0,736656963825226	
1559,375	0,653308093547821	1559,375	-0,734267830848694	
1562,5	0,65293300151825	1562,5	-0,731501460075378	
1565,625	0,655910313129425	1565,625	-0,724739551544189	
