Frequency in Hz	Wool_96 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96 Sound Absorption Coefficient continuous	
		2490,625	0,989302321820621	
		2493,75	0,989328556175595	
		2496,875	0,989257140132849	
		2500	0,988938512140846	
		2503,125	0,988911472730163	
		2506,25	0,988622280998426	
		2509,375	0,988559162100809	
		2512,5	0,988502939994219	
		2515,625	0,988536178798346	
		2518,75	0,988295909170077	
		2521,875	0,988137425596692	
		2525	0,987984360237393	
		2528,125	0,988073753417672	
		2531,25	0,988040207672045	
		2534,375	0,987826215250304	
		2537,5	0,987602755726737	
		2540,625	0,987707901821948	
		2543,75	0,987591129327539	
		2546,875	0,987209375116947	
		2550	0,98703433528711	
		2553,125	0,986827906818474	
		2556,25	0,986653907547732	
		2559,375	0,98667824721229	
		2562,5	0,986579033505182	
		2565,625	0,986491092718029	
		2568,75	0,986275205877875	
		2571,875	0,985955067955676	
		2575	0,985913060297418	
		2578,125	0,986173165384548	
		2581,25	0,985740431898443	
		2584,375	0,985772031835734	
		2587,5	0,985566708557794	
		2590,625	0,985494080117383	
		2593,75	0,985374808369017	
		2596,875	0,985071194103861	
		2600	0,985072115174678	
		2603,125	0,984969805170284	
		2606,25	0,98497051496211	
		2609,375	0,984618438222296	
		2612,5	0,984548664057895	
		2615,625	0,984483326666254	
		2618,75	0,984314905934724	
		2621,875	0,984350381124314	
		2625	0,984449718220543	
		2628,125	0,984257797616121	
		2631,25	0,984151392304519	
		2634,375	0,984147143946414	
		2637,5	0,984039398562351	
		2640,625	0,983785997444859	
		2643,75	0,983504829402729	
		2646,875	0,983276629234268	
		2650	0,983045018648241	
		2653,125	0,983099374401981	
		2656,25	0,982873172378822	
		2659,375	0,982771978529703	
		2662,5	0,982687637881506	
		2665,625	0,982641806454325	
		2668,75	0,982890337515349	
		2671,875	0,98237388572541	
		2675	0,982081393476689	
		2678,125	0,982026249181746	
		2681,25	0,98170983604974	
		2684,375	0,981563420470896	
		2687,5	0,981454931670862	
		2690,625	0,981295178294334	
		2693,75	0,981279738252305	
		2696,875	0,981341575555493	
		2700	0,981119567603439	
		2703,125	0,980903411062728	
		2706,25	0,981050278058931	
		2709,375	0,980760293211363	
		2712,5	0,980415612035049	
		2715,625	0,980317024881999	
		2718,75	0,980341512562137	
		2721,875	0,980393559011028	
		2725	0,980040929848951	
		2728,125	0,979713359214477	
		2731,25	0,979747684447322	
		2734,375	0,979798563707048	
		2737,5	0,979656352143131	
		2740,625	0,979373710054747	
		2743,75	0,978840243611482	
		2746,875	0,978881211543821	
		2750	0,979079982589819	
		2753,125	0,978812815112227	
		2756,25	0,978473699963126	
		2759,375	0,978386966559727	
		2762,5	0,978357095301762	
		2765,625	0,978159444552899	
		2768,75	0,977774404127958	
		2771,875	0,977902243232374	
		2775	0,977776761787272	
		2778,125	0,977748889575806	
		2781,25	0,977418045032309	
		2784,375	0,977498902029739	
		2787,5	0,977486584507073	
		2790,625	0,976974687550682	
		2793,75	0,976894935322414	
		2796,875	0,976787784739834	
		2800	0,976442512654914	
		2803,125	0,975891452901094	
		2806,25	0,976099383467	
		2809,375	0,975908614932225	
		2812,5	0,975546565719456	
		2815,625	0,975540129978329	
		2818,75	0,975606300720495	
		2821,875	0,975378020567537	
		2825	0,975523901667205	
		2828,125	0,975180922873332	
		2831,25	0,974880501723614	
		2834,375	0,974915367583867	
		2837,5	0,974192137521209	
		2840,625	0,974044054471126	
		2843,75	0,974345456803191	
		2846,875	0,97400979186422	
		2850	0,974032909709658	
		2853,125	0,973919057583478	
		2856,25	0,97354847361138	
		2859,375	0,973623355287267	
		2862,5	0,973223225074831	
		2865,625	0,973041265605912	
		2868,75	0,972851693990314	
		2871,875	0,972406569157391	
		2875	0,97245970015453	
		2878,125	0,972352269316325	
		2881,25	0,972062485378469	
		2884,375	0,972109785853902	
		2887,5	0,971767996051159	
		2890,625	0,971199508027803	
		2893,75	0,971154929176183	
		2896,875	0,971234993106169	
		2900	0,971023669522269	
		2903,125	0,970728829124142	
		2906,25	0,970752801444283	
		2909,375	0,97046899308179	
		2912,5	0,970528595407766	
		2915,625	0,970247132564829	
		2918,75	0,96999336210604	
		2921,875	0,969806940115768	
		2925	0,969220523016246	
		2928,125	0,969384426493814	
		2931,25	0,969444004675204	
		2934,375	0,96897490801483	
		2937,5	0,968689259631756	
		2940,625	0,968793742051232	
		2943,75	0,968592093160291	
		2946,875	0,968076024945112	
		2950	0,967887155638073	
		2953,125	0,967687111384722	
		2956,25	0,967276165795332	
		2959,375	0,966975750545387	
		2962,5	0,966990618246458	
		2965,625	0,966709549615532	
		2968,75	0,966144113083859	
		2971,875	0,965931687207939	
		2975	0,965879153957639	
		2978,125	0,965550327965879	
		2981,25	0,965551682899329	
		2984,375	0,965053396447104	
		2987,5	0,964762449264008	
		2990,625	0,964630589974729	
		2993,75	0,964352882372998	
		2996,875	0,96405649569344	
		3000	0,963712668608964	
