target,target_name,segment,lower_hz,upper_hz,parameter,functional_S1,functional_ST,functional_ST_minus_S1,mean_pointwise_S1,mean_pointwise_ST,max_pointwise_ST,peak_ST_frequency_hz
im,R_imag,low_100_700,100,700,lambda,0.0010949078553335,0.00103297629777235,-6.19315575611529e-05,0.000815097796597455,0.000998431683035999,0.00219156632595503,672.834645669291
im,R_imag,low_100_700,100,700,lambda_prime,0.00568809203801057,0.00905164488513011,0.00336355284711954,0.00511402916618612,0.00892261156762835,0.0134650236284582,329.133858267717
im,R_imag,low_100_700,100,700,k0_prime,0.0416636952160726,0.0496618120487975,0.00799811683272492,0.135587769436768,0.142880306449537,0.434987398412702,100
im,R_imag,midlow_700_1000,700,1000,sigma,0.952041127507295,0.966691375608504,0.0146502481012089,0.951477891968262,0.966330433082077,0.982410056843859,711.023622047244
im,R_imag,midlow_700_1000,700,1000,alpha_infinity,0.0136183293662203,0.0202298461720448,0.00661151680582445,0.013802675909294,0.0205251408227342,0.0486849502793303,978.346456692913
im,R_imag,midlow_700_1000,700,1000,lambda,0.00918847661898958,0.0204695969519505,0.0112811203329609,0.0093019458545999,0.0207573470317223,0.0487409469727955,978.346456692913
im,R_imag,midlow_700_1000,700,1000,lambda_prime,0.00172737376111032,0.00288393688740769,0.00115656312629737,0.001715829099632,0.00287689969481492,0.00528545842521501,711.023622047244
im,R_imag,midlow_700_1000,700,1000,k0_prime,0.00627528842760283,0.0108039288844151,0.00452864045681228,0.00629912176389005,0.0108520760276343,0.0138707401707423,978.346456692913
im,R_imag,midhigh_1000_1300,1000,1300,sigma,0.703711112453808,0.812287772613978,0.10857666016017,0.683736626826635,0.800029825875564,0.914235498720224,1016.53543307087
im,R_imag,midhigh_1000_1300,1000,1300,alpha_infinity,0.098672908766581,0.157137792269698,0.0584648835031174,0.105861824389329,0.168535749262886,0.310239857141157,1283.85826771654
im,R_imag,midhigh_1000_1300,1000,1300,lambda,0.0540874634001189,0.129205774097407,0.0751183106972884,0.0575434680593087,0.136961342676002,0.227619172617722,1283.85826771654
im,R_imag,midhigh_1000_1300,1000,1300,lambda_prime,-0.000660221648103754,0.00227094976240089,0.00293117141050464,-0.00068196776595883,0.00239293332123212,0.00413440975957357,1283.85826771654
im,R_imag,midhigh_1000_1300,1000,1300,k0_prime,0.0144958540842425,0.0306393108628527,0.0161434567786103,0.0151687835152026,0.0321959177179587,0.0496832258491442,1283.85826771654
im,R_imag,highlow_1300_1650,1300,1650,sigma,0.12129496012665,0.450303250406267,0.329008290279617,0.117448327864377,0.447899191696289,0.599617727247458,1322.04724409449
im,R_imag,highlow_1300_1650,1300,1650,alpha_infinity,0.352113252621379,0.541368534848038,0.18925528222666,0.353930070099039,0.544048201757569,0.645319866412585,1627.55905511811
im,R_imag,highlow_1300_1650,1300,1650,lambda,0.148282343983269,0.304455003374363,0.156172659391093,0.148885057002784,0.305459666762467,0.330735182790907,1512.99212598425
im,R_imag,highlow_1300_1650,1300,1650,lambda_prime,0.00116884778890491,0.00659695582750456,0.00542810803859965,0.00118775648975607,0.00662701916289844,0.00744939755104381,1512.99212598425
im,R_imag,highlow_1300_1650,1300,1650,k0_prime,0.0232839556540397,0.055239376255968,0.0319554206019282,0.0233050954532273,0.0553330207722381,0.0597019645424662,1436.61417322835
im,R_imag,high_1650_2000,1650,2000,sigma,0.28651772127166,0.531948801656361,0.245431080384701,0.265419605964463,0.519639740249017,0.64080854385727,1971.25984251968
