target,target_name,frequency_hz,parameter,base_sample_size,S1,ST,ST_minus_S1,S1_ci_low,S1_ci_high,ST_ci_low,ST_ci_high,output_variance
re,R_real,787.40157480315,lambda,4096,0.0134468950506987,0.033937518826581,0.0204906237758823,-0.0226370241819811,0.0441882247062144,0.030594854914282,0.0386819686705094,0.00490296541334991
re,R_real,787.40157480315,lambda_prime,4096,0.00758926689083861,0.0168509829174847,0.00926171602664612,-0.0223590267221829,0.0397267274551371,0.015337394889237,0.0184994839408659,0.00490296541334991
re,R_real,787.40157480315,k0_prime,4096,0.105381008037828,0.13281241974239,0.0274314117045621,0.0750973282867985,0.135011709341149,0.12498550683083,0.141475277904836,0.00490296541334991
re,R_real,825.590551181102,sigma,4096,0.804937379093721,0.852917089831424,0.0479797107377032,0.788815972315765,0.815233738282612,0.818879039339121,0.889474138106037,0.00603192425590638
re,R_real,825.590551181102,alpha_infinity,4096,0.0314635363960345,0.0494052928078816,0.0179417564118471,-0.00529296290616665,0.0632748688258535,0.0453649553266717,0.0541846393377316,0.00603192425590638
re,R_real,825.590551181102,lambda,4096,0.0124230898218407,0.0304873149008584,0.0180642250790177,-0.0228269678798152,0.0440468696662002,0.0276278730254402,0.0346082509067358,0.00603192425590638
re,R_real,825.590551181102,lambda_prime,4096,0.00749049103355115,0.0152271520479797,0.00773666101442854,-0.023593354373078,0.0395125542052696,0.0139093289961464,0.016665538890154,0.00603192425590638
re,R_real,825.590551181102,k0_prime,4096,0.0843512615539842,0.10951735569295,0.0251660941389656,0.0538800968270268,0.115829304564381,0.102402992870477,0.116561139248871,0.00603192425590638
re,R_real,863.779527559055,sigma,4096,0.834127070881259,0.876951107339068,0.0428240364578091,0.820476811697096,0.843241644529852,0.84338390915152,0.913188194200327,0.00727721708248387
re,R_real,863.779527559055,alpha_infinity,4096,0.0288153018696872,0.0448658146025222,0.016050512732835,-0.00880325372698088,0.0598073850660215,0.0416556696203334,0.0488334076374331,0.00727721708248387
re,R_real,863.779527559055,lambda,4096,0.0113607495514046,0.0260045577088768,0.0146438081574722,-0.0239451694936696,0.0429224673081029,0.0237687300907429,0.0294723192576792,0.00727721708248387
re,R_real,863.779527559055,lambda_prime,4096,0.00690712595377352,0.0130876603624331,0.00618053440865955,-0.025416066260612,0.0382520085768858,0.0119767031059268,0.0143440400284453,0.00727721708248387
re,R_real,863.779527559055,k0_prime,4096,0.0684515114230244,0.089723188324158,0.0212716769011336,0.0366557863780486,0.10044132504896,0.0839908787369814,0.0956563463472085,0.00727721708248387
re,R_real,901.968503937008,sigma,4096,0.857487164812861,0.896061242811367,0.0385740779985063,0.846042661643386,0.865384720598016,0.862300992667711,0.933118632209336,0.00861017867211315
re,R_real,901.968503937008,alpha_infinity,4096,0.025832627579979,0.0403212799547433,0.0144886523747643,-0.0101712572816366,0.0570350875286233,0.0375133224492091,0.0438044487154617,0.00861017867211315
re,R_real,901.968503937008,lambda,4096,0.00953919885604015,0.0217835756550909,0.0122443767990507,-0.0245145936838636,0.0414126990949601,0.0198438566734857,0.024567882545297,0.00861017867211315
re,R_real,901.968503937008,lambda_prime,4096,0.00594449367982186,0.0117975774696878,0.0058530837898659,-0.0265732799859237,0.0378152612105499,0.0107318551042406,0.0128448102956762,0.00861017867211315
re,R_real,901.968503937008,k0_prime,4096,0.0557542860897791,0.0752283950611341,0.0194741089713551,0.0247663774922069,0.088091384867462,0.070013990009038,0.081081893062013,0.00861017867211315
re,R_real,940.157480314961,sigma,4096,0.877858590809896,0.912595611341929,0.0347370205320335,0.868415919285566,0.884987889497009,0.878149938783818,0.950477005977998,0.010097841921791
