Frequency in Hz	Wool_94 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94 Sound Reflection Factor continuous Im	
1003,125	0,320774883031845	1003,125	-0,431143254041672	
1006,25	0,319608271121979	1006,25	-0,432690531015396	
1009,375	0,317476034164429	1009,375	-0,435619562864304	
1012,5	0,317151755094528	1012,5	-0,437333166599274	
1015,625	0,3170505464077	1015,625	-0,440982758998871	
1018,75	0,311792969703674	1018,75	-0,44567683339119	
1021,875	0,31083756685257	1021,875	-0,447934240102768	
1025	0,304990887641907	1025	-0,451892018318176	
1028,125	0,302003532648087	1028,125	-0,455659329891205	
1031,25	0,299586087465286	1031,25	-0,460765719413757	
1034,375	0,291348844766617	1034,375	-0,464175969362259	
1037,5	0,283800452947617	1037,5	-0,466674089431763	
1040,625	0,275324821472168	1040,625	-0,470648437738419	
1043,75	0,267699807882309	1043,75	-0,471060991287231	
1046,875	0,258254766464233	1046,875	-0,469843685626984	
1050	0,245295062661171	1050	-0,470273017883301	
1053,125	0,235625877976418	1053,125	-0,469311565160751	
1056,25	0,224943339824677	1056,25	-0,462215602397919	
1059,375	0,219181567430496	1059,375	-0,457769095897675	
1062,5	0,212795972824097	1062,5	-0,451093226671219	
1065,625	0,204379215836525	1065,625	-0,441579759120941	
1068,75	0,20345750451088	1068,75	-0,434170842170715	
1071,875	0,199276834726334	1071,875	-0,426904499530792	
1075	0,196720793843269	1075	-0,420874923467636	
1078,125	0,194271475076675	1078,125	-0,415489017963409	
1081,25	0,194063529372215	1081,25	-0,405254185199738	
1084,375	0,193351522088051	1084,375	-0,401440531015396	
1087,5	0,193559020757675	1087,5	-0,39634296298027	
1090,625	0,194125905632973	1090,625	-0,391935497522354	
1093,75	0,193645223975182	1093,75	-0,387594103813171	
1096,875	0,194055542349815	1096,875	-0,383196204900742	
1100	0,194724068045616	1100	-0,379703849554062	
1103,125	0,194838762283325	1103,125	-0,376372158527374	
1106,25	0,196290075778961	1106,25	-0,373149514198303	
1109,375	0,195158898830414	1109,375	-0,3705233335495	
1112,5	0,196035832166672	1112,5	-0,368131220340729	
1115,625	0,19679082930088	1115,625	-0,364689856767654	
1118,75	0,196474194526672	1118,75	-0,364072650671005	
1121,875	0,197482615709305	1121,875	-0,36179980635643	
1125	0,197742104530334	1125	-0,360098481178284	
1128,125	0,197395622730255	1128,125	-0,357834726572037	
1131,25	0,196820542216301	1131,25	-0,355353057384491	
1134,375	0,19788084924221	1134,375	-0,353915631771088	
1137,5	0,197692200541496	1137,5	-0,353724330663681	
1140,625	0,195938110351563	1140,625	-0,351992845535278	
1143,75	0,197341084480286	1143,75	-0,350381970405579	
1146,875	0,19712607562542	1146,875	-0,348660439252853	
1150	0,19557774066925	1150	-0,345717132091522	
1153,125	0,196516335010529	1153,125	-0,344546258449554	
1156,25	0,197136148810387	1156,25	-0,344651699066162	
1159,375	0,195495381951332	1159,375	-0,344033867120743	
1162,5	0,196848183870316	1162,5	-0,342698752880096	
1165,625	0,19586768746376	1165,625	-0,340392470359802	
1168,75	0,195436775684357	1168,75	-0,339901387691498	
1171,875	0,195085823535919	1171,875	-0,339835226535797	
1175	0,192974373698235	1175	-0,337681174278259	
1178,125	0,191799372434616	1178,125	-0,336539059877396	
1181,25	0,192191451787949	1181,25	-0,335309624671936	
1184,375	0,190804332494736	1184,375	-0,333594977855682	
1187,5	0,189437255263329	1187,5	-0,332259804010391	
1190,625	0,189544588327408	1190,625	-0,330678045749664	
1193,75	0,19059132039547	1193,75	-0,329232305288315	
1196,875	0,189880162477493	1196,875	-0,326127767562866	
1200	0,187326848506927	1200	-0,326141953468323	
1203,125	0,187521770596504	1203,125	-0,32447224855423	
1206,25	0,188363760709763	1206,25	-0,32206130027771	
1209,375	0,185652583837509	1209,375	-0,32179868221283	
1212,5	0,184718400239944	1212,5	-0,321089059114456	
1215,625	0,186002656817436	1215,625	-0,319288372993469	
1218,75	0,183822154998779	1218,75	-0,31761223077774	
1221,875	0,185234650969505	1221,875	-0,316325098276138	
1225	0,185666233301163	1225	-0,316163390874863	
1228,125	0,18350225687027	1228,125	-0,314590603113174	
1231,25	0,184088543057442	1231,25	-0,313690394163132	
1234,375	0,184453532099724	1234,375	-0,31250324845314	
1237,5	0,182990103960037	1237,5	-0,311631321907043	
1240,625	0,183337777853012	1240,625	-0,309877902269363	
