Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Im	
821,875	0,868422508239746	821,875	-1,68825495243073	
825	0,871847569942474	825	-1,70536613464355	
828,125	0,868487417697906	828,125	-1,69785106182098	
831,25	0,903276741504669	831,25	-1,68890523910522	
834,375	0,871951818466187	834,375	-1,67205631732941	
837,5	0,854287922382355	837,5	-1,68074142932892	
840,625	0,844843149185181	840,625	-1,68074154853821	
843,75	0,84226006269455	843,75	-1,67448353767395	
846,875	0,830922245979309	846,875	-1,68530738353729	
850	0,814424693584442	850	-1,68801033496857	
853,125	0,808700919151306	853,125	-1,69641828536987	
856,25	0,811262309551239	856,25	-1,70134210586548	
859,375	0,801628351211548	859,375	-1,68622159957886	
862,5	0,775550663471222	862,5	-1,67979466915131	
865,625	0,753708064556122	865,625	-1,67732000350952	
868,75	0,733641147613525	868,75	-1,67523300647736	
871,875	0,703766644001007	871,875	-1,65283370018005	
875	0,705491364002228	875	-1,62738180160522	
878,125	0,67754203081131	878,125	-1,60631287097931	
881,25	0,669880330562592	881,25	-1,57260918617249	
884,375	0,638025879859924	884,375	-1,49414193630219	
887,5	0,652535319328308	887,5	-1,46724259853363	
890,625	0,646248281002045	890,625	-1,43818151950836	
893,75	0,634594678878784	893,75	-1,41494166851044	
896,875	0,647051095962524	896,875	-1,38645315170288	
900	0,659910798072815	900	-1,37734663486481	
903,125	0,675668656826019	903,125	-1,35554337501526	
906,25	0,687511682510376	906,25	-1,34444916248322	
909,375	0,688188016414642	909,375	-1,33490836620331	
912,5	0,691806793212891	912,5	-1,31588792800903	
915,625	0,705563247203827	915,625	-1,30530774593353	
918,75	0,71764075756073	918,75	-1,29853534698486	
921,875	0,731912553310394	921,875	-1,28960621356964	
925	0,738047957420349	925	-1,28365051746368	
928,125	0,739311993122101	928,125	-1,28317427635193	
931,25	0,747117519378662	931,25	-1,2652759552002	
934,375	0,752966403961182	934,375	-1,26284384727478	
937,5	0,7589350938797	937,5	-1,25585377216339	
940,625	0,763953149318695	940,625	-1,25212776660919	
943,75	0,764589071273804	943,75	-1,24218332767487	
946,875	0,768666565418243	946,875	-1,23704135417938	
950	0,775173664093018	950	-1,23329854011536	
953,125	0,780303359031677	953,125	-1,23022830486298	
