Frequency in Hz	Silk_94 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94 Sound Absorption Coefficient continuous	
		2434,375	0,786468199573561	
		2437,5	0,78604506186622	
		2440,625	0,786520559630615	
		2443,75	0,786775032032199	
		2446,875	0,787541572792184	
		2450	0,786563161046576	
		2453,125	0,786969594605542	
		2456,25	0,787529857991462	
		2459,375	0,787157461107196	
		2462,5	0,787673368933494	
		2465,625	0,788160235380915	
		2468,75	0,789158248906447	
		2471,875	0,788213817219923	
		2475	0,788889384369623	
		2478,125	0,787883655112849	
		2481,25	0,789237709918324	
		2484,375	0,788577949031973	
		2487,5	0,787042713443775	
		2490,625	0,788581560210257	
		2493,75	0,790362572817295	
		2496,875	0,790317571158498	
		2500	0,788566783883909	
		2503,125	0,790450752491676	
		2506,25	0,789404410861443	
		2509,375	0,79022361056229	
		2512,5	0,79100244451713	
		2515,625	0,792521144292282	
		2518,75	0,792229333116899	
		2521,875	0,791754824505655	
		2525	0,790843453551212	
		2528,125	0,793348420374967	
		2531,25	0,793790410114233	
		2534,375	0,792958288690198	
		2537,5	0,793505871629197	
		2540,625	0,796369542077553	
		2543,75	0,796597534835222	
		2546,875	0,794476290083191	
		2550	0,79455562223187	
		2553,125	0,794762299525694	
		2556,25	0,794452183671423	
		2559,375	0,795253047618609	
		2562,5	0,796499793530095	
		2565,625	0,797108082512758	
		2568,75	0,797111159851119	
		2571,875	0,796144944117771	
		2575	0,796784329627558	
		2578,125	0,799263046238843	
		2581,25	0,79769716008956	
		2584,375	0,798957581874387	
		2587,5	0,798795349175017	
		2590,625	0,799584105747848	
		2593,75	0,799235411915134	
		2596,875	0,797983932451991	
		2600	0,799374013101929	
		2603,125	0,800046813441106	
		2606,25	0,800752047322567	
		2609,375	0,799842081214778	
		2612,5	0,799811893909835	
		2615,625	0,799893270472193	
		2618,75	0,79886094933764	
		2621,875	0,799849680026924	
		2625	0,800388467404008	
		2628,125	0,799659253499507	
		2631,25	0,799935757728469	
		2634,375	0,800534626203592	
		2637,5	0,800369739644288	
		2640,625	0,799669166702709	
		2643,75	0,798412653721311	
		2646,875	0,798279746707562	
		2650	0,798455320082009	
