Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Im	
446,875	0,744466781616211	903,125	0,712731897830963	446,875	-0,131605893373489	903,125	-0,0238506477326155	
450	0,74597704410553	906,25	0,708847761154175	450	-0,127990141510963	906,25	-0,0219363961368799	
453,125	0,74133312702179	909,375	0,709120333194733	453,125	-0,136820748448372	909,375	-0,0210990570485592	
456,25	0,731854796409607	912,5	0,711353540420532	456,25	-0,140765890479088	912,5	-0,0232043173164129	
459,375	0,7368084192276	915,625	0,708041429519653	459,375	-0,137616619467735	915,625	-0,0198597889393568	
462,5	0,73901778459549	918,75	0,706401169300079	462,5	-0,140346899628639	918,75	-0,0187108293175697	
465,625	0,741403758525848	921,875	0,708394229412079	465,625	-0,140454635024071	921,875	-0,0242546033114195	
468,75	0,740239083766937	925	0,706500172615051	468,75	-0,132010474801064	925	-0,0236529503017664	
471,875	0,734594166278839	928,125	0,709064304828644	471,875	-0,132935956120491	928,125	-0,0221216697245836	
475	0,744699418544769	931,25	0,712037265300751	475	-0,13920022547245	931,25	-0,0204619374126196	
478,125	0,744088053703308	934,375	0,711844265460968	478,125	-0,136113911867142	934,375	-0,019765168428421	
481,25	0,736862778663635	937,5	0,713955223560333	481,25	-0,130306854844093	937,5	-0,0230516009032726	
484,375	0,736231744289398	940,625	0,710323393344879	484,375	-0,129917815327644	940,625	-0,0224321763962507	
487,5	0,736160218715668	943,75	0,708372473716736	487,5	-0,128603398799896	943,75	-0,0205345749855042	
490,625	0,738273501396179	946,875	0,708287835121155	490,625	-0,134581819176674	946,875	-0,0196804273873568	
493,75	0,738474130630493	950	0,710233867168427	493,75	-0,133497506380081	950	-0,0183163303881884	
496,875	0,731036305427551	953,125	0,708241760730743	496,875	-0,136946603655815	953,125	-0,0194210316985846	
500	0,733988285064697	956,25	0,705967485904694	500	-0,130282342433929	956,25	-0,0191002860665321	
503,125	0,733895301818848	959,375	0,705398976802826	503,125	-0,128954812884331	959,375	-0,0198407713323832	
506,25	0,73713093996048	962,5	0,705099105834961	506,25	-0,129863902926445	962,5	-0,0210480615496635	
509,375	0,736481428146362	965,625	0,70501035451889	509,375	-0,130360901355743	965,625	-0,0184146724641323	
512,5	0,733665764331818	968,75	0,707635343074799	512,5	-0,129564702510834	968,75	-0,01646956987679	
515,625	0,729671955108643	971,875	0,706107556819916	515,625	-0,130562305450439	971,875	-0,019675986841321	
518,75	0,73858767747879	975	0,704529404640198	518,75	-0,134991988539696	975	-0,0210182070732117	
521,875	0,739701807498932	978,125	0,705721437931061	521,875	-0,134952798485756	978,125	-0,0190533138811588	
525	0,731764912605286	981,25	0,702855169773102	525	-0,134505644440651	981,25	-0,0200119316577911	
528,125	0,732884705066681	984,375	0,705409348011017	528,125	-0,129505008459091	984,375	-0,0183440968394279	
531,25	0,734960496425629	987,5	0,705555558204651	531,25	-0,129395619034767	987,5	-0,0163617189973593	
534,375	0,735505223274231	990,625	0,704620718955994	534,375	-0,126466751098633	990,625	-0,0182641334831715	
