Frequency in Hz	Silk_92_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient 1/3-octave	
		1540,625	0,652361762185889					
		1543,75	0,645142830277987					
		1546,875	0,637221410463818					
		1550	0,628332765743119					
		1553,125	0,624004285583126					
		1556,25	0,616769608218692					
		1559,375	0,612444792658565					
		1562,5	0,608029443273645					
		1565,625	0,605413904418245					
		1568,75	0,602131093750981					
		1571,875	0,597416979126177					
		1575	0,592365324685913					
		1578,125	0,590678372022631					
		1581,25	0,587966096003937					
		1584,375	0,587404567096733					
		1587,5	0,58600982928996					
		1590,625	0,581398938495776					
		1593,75	0,580204878216472					
		1596,875	0,578786277341259					
		1600	0,577444429723063					
		1603,125	0,576153255642696					
		1606,25	0,574024521117205					
		1609,375	0,574136811631716					
		1612,5	0,573163413682612					
		1615,625	0,572581898106461					
		1618,75	0,572064427404569					
		1621,875	0,570911835516984					
		1625	0,57375424757645					
		1628,125	0,5718965940452					
		1631,25	0,57227057893					
		1634,375	0,569879710067657					
		1637,5	0,571700294618837					
		1640,625	0,564310271578356					
		1643,75	0,564232411162052					
		1646,875	0,565789004090282					
		1650	0,566990997057944					
		1653,125	0,566278600378149					
		1656,25	0,564393106794656					
		1659,375	0,566421752211863					
		1662,5	0,568551730786427					
		1665,625	0,566635541388894					
		1668,75	0,566535303997026					
		1671,875	0,569257960300665					
		1675	0,564903053512109					
		1678,125	0,564277527488806					
		1681,25	0,563884651591872					
		1684,375	0,563118728512355					
		1687,5	0,562386442119212					
		1690,625	0,559524783269572					
		1693,75	0,559907029261885					
		1696,875	0,559034657286133					
		1700	0,555679273490859					
		1703,125	0,553482257654501					
		1706,25	0,554614860677698					
		1709,375	0,557444858699904					
		1712,5	0,557551654253838					
		1715,625	0,557348989908353					
		1718,75	0,558951299954953					
		1721,875	0,560018621185576					
		1725	0,560043469098374					
		1728,125	0,563766076035478					
		1731,25	0,566839446351227					
		1734,375	0,566165182776865					
		1737,5	0,566116510078199					
		1740,625	0,562941784380347					
		1743,75	0,571581166407576					
		1746,875	0,572935799868152					
		1750	0,568686311516241					
		1753,125	0,570489276954611					
		1756,25	0,570872352300252					
		1759,375	0,571894111024652					
		1762,5	0,569983322851367					
		1765,625	0,57088642821484					
		1768,75	0,570029776503908					
		1771,875	0,573425625747534					
		1775	0,573502498663843					
		1778,125	0,571927345292391					
		1781,25	0,570544385923812					
		1784,375	0,573681326310331					
		1787,5	0,574178778532989					
		1790,625	0,573370019403901					
		1793,75	0,570615200204544					
		1796,875	0,56970081934163					
		1800	0,569806485409862					
		1803,125	0,571270266833262					
		1806,25	0,571109097157842					
		1809,375	0,57168208953607					
		1812,5	0,569937080875241					
		1815,625	0,566843493013768					
		1818,75	0,569963678776807					
		1821,875	0,571075458017341					
		1825	0,568685406434793					
		1828,125	0,570752251185346					
		1831,25	0,570471322934692					
		1834,375	0,567072598515067					
		1837,5	0,572761153860255					
		1840,625	0,572897711286697					
		1843,75	0,572442545268549					
		1846,875	0,571810235931993					
		1850	0,5674772299063					
		1853,125	0,568913696737311					
		1856,25	0,570940167654284					
		1859,375	0,569489689398617					
		1862,5	0,567724561638903					
		1865,625	0,567103298549463					
		1868,75	0,56651237410135					
		1871,875	0,567164329725692					
		1875	0,567992334483917					
		1878,125	0,569888125838039					
		1881,25	0,567400619581705					
		1884,375	0,567975179229955					
		1887,5	0,568003136040496					
		1890,625	0,564573759546657					
		1893,75	0,568331394189389					
		1896,875	0,567240703550535					
		1900	0,567025662166116					
		1903,125	0,567314270656708					
		1906,25	0,565947430205232					
		1909,375	0,566138394368893					
		1912,5	0,567199890781182					
		1915,625	0,568777358575788					
		1918,75	0,566247072053706					
		1921,875	0,568638218441609					
		1925	0,567886642937138					
		1928,125	0,569217313345552					
		1931,25	0,567295116874875					
		1934,375	0,565481955075011					
		1937,5	0,564713191234969					
		1940,625	0,563774085311936					
		1943,75	0,566372017239839					
		1946,875	0,568452079612949					
		1950	0,56634059150236					
		1953,125	0,566058963092755					
		1956,25	0,566028797931224					
		1959,375	0,563724705027084					
		1962,5	0,56582054190051					
		1965,625	0,568196153951016					
		1968,75	0,566080210294732					
		1971,875	0,563875238271209					
		1975	0,569133300498386					
		1978,125	0,56868407455401					
		1981,25	0,567570520587241					
		1984,375	0,569333855095443					
		1987,5	0,565687402503066					
		1990,625	0,562758570060857					
		1993,75	0,566245986885407					
		1996,875	0,567967949905961					
		2000	0,566854073275701					
		2003,125	0,569598183863146					
		2006,25	0,569119658456546					
		2009,375	0,5724679418397					
		2012,5	0,571200971869354					
		2015,625	0,573447532833615					
		2018,75	0,574646293332029					
		2021,875	0,576225506628011					
		2025	0,577569698538777					
		2028,125	0,580064469104507					
		2031,25	0,57935897521389					
		2034,375	0,582203545568633					
		2037,5	0,586754910288807					
		2040,625	0,58456992621948					
		2043,75	0,586009463718471					
		2046,875	0,586211464992599					
		2050	0,587923863851029					
		2053,125	0,594123710747206					
		2056,25	0,59732096038659					
		2059,375	0,594807351202687					
		2062,5	0,598520427269704					
		2065,625	0,603515869405768					
		2068,75	0,602020424650178					
		2071,875	0,603150640350963					
		2075	0,604694723465429					
		2078,125	0,610643779746911					
		2081,25	0,610007489432134					
		2084,375	0,611018010516818					
		2087,5	0,610430086085341					
		2090,625	0,611923470272831					
		2093,75	0,615241843729772					
		2096,875	0,617975316344449					
		2100	0,618331046505506					
		2103,125	0,616516587339496					
		2106,25	0,618198964352542					
		2109,375	0,61912196085876					
		2112,5	0,624670895534531					
		2115,625	0,623865101273998					
		2118,75	0,624835506910042					
		2121,875	0,625957911969495					
		2125	0,625045401116384					
		2128,125	0,624050959970174					
		2131,25	0,627249749833554					
		2134,375	0,631109430346152					
		2137,5	0,629840339777735					
		2140,625	0,627799225769855					
		2143,75	0,627650235230818					
		2146,875	0,629974568959727					
		2150	0,63191378068816					
		2153,125	0,630730955630117					
		2156,25	0,634455528775342					
		2159,375	0,633933909506623					
		2162,5	0,635997216661263					
		2165,625	0,637923070519824					
		2168,75	0,63294210361561					
		2171,875	0,635217075070375					
		2175	0,639339010891412					
		2178,125	0,637106029537272					
		2181,25	0,639434201877261					
		2184,375	0,63637731363851					
		2187,5	0,638062751908945					
		2190,625	0,638707337633669					
		2193,75	0,641229933279564					
		2196,875	0,641093090814254					
		2200	0,64226247734439					
		2203,125	0,642238160369729					
		2206,25	0,64415020507831					
		2209,375	0,641413067856717					
		2212,5	0,641197717293996					
		2215,625	0,644037331014655					
		2218,75	0,644750346866329					
		2221,875	0,643467338626013					
		2225	0,642953451768418					
		2228,125	0,644810608974813					
		2231,25	0,645800624299541					
		2234,375	0,647453624926016					
		2237,5	0,648672214475473					
		2240,625	0,652265095345178					
		2243,75	0,651679397094063					
		2246,875	0,650329186245502					
		2250	0,651536776285867					
		2253,125	0,65205206005715					
		2256,25	0,651563019612192					
		2259,375	0,654245764908899					
		2262,5	0,653103914194658					
		2265,625	0,654865325918792					
		2268,75	0,655633814593898					
		2271,875	0,657592197014387					
		2275	0,656520599261858					
		2278,125	0,658126616148321					
		2281,25	0,661740940350104					
		2284,375	0,66165652773082					
		2287,5	0,661671014569772					
		2290,625	0,660852263916582					
		2293,75	0,662376666030525					
		2296,875	0,662568355069197					
		2300	0,663764749407616					
		2303,125	0,66483362912122					
		2306,25	0,665483528229849					
		2309,375	0,667200848204846					
		2312,5	0,668282589136904					
		2315,625	0,669639542359238					
		2318,75	0,671571659877142					
		2321,875	0,672169289985711					
		2325	0,671159553332658					
		2328,125	0,670947171532358					
		2331,25	0,671489634804506					
		2334,375	0,673746190136585					
		2337,5	0,675479886622478					
		2340,625	0,674202602615622					
		2343,75	0,672069796918824					
		2346,875	0,675496890177783					
		2350	0,675507357414823					
		2353,125	0,677732170549566					
		2356,25	0,678858068561752					
		2359,375	0,677118913669639					
		2362,5	0,679836033623498					
		2365,625	0,683291848851122					
		2368,75	0,679627596699329					
		2371,875	0,680268697443384					
		2375	0,681826633832487					
		2378,125	0,682001592918782					
		2381,25	0,682216398072993					
		2384,375	0,683980844371597					
		2387,5	0,681980168583806					
		2390,625	0,682940121118233					
		2393,75	0,681296382931032					
		2396,875	0,68282545107219					
		2400	0,685367516502033					
		2403,125	0,684826168432862					
		2406,25	0,685992674307081					
		2409,375	0,685471261766153					
		2412,5	0,684857999775907					
		2415,625	0,683978473060717					
		2418,75	0,684975604709693					
		2421,875	0,682911128616835					
		2425	0,68279718884905					
		2428,125	0,685202964366228					
		2431,25	0,688149772785819					
		2434,375	0,687494124668452					
		2437,5	0,685795305540796					
		2440,625	0,687702644895936					
		2443,75	0,687447349913544					
		2446,875	0,688533564534257					
		2450	0,687959221418191					
		2453,125	0,687499541031248					
		2456,25	0,690283158528102					
		2459,375	0,689508106991086					
		2462,5	0,687898223169004					
		2465,625	0,691307401000071					
		2468,75	0,69340972103009					
		2471,875	0,690859960462296					
		2475	0,692205638073227					
		2478,125	0,692341238910574					
		2481,25	0,692139497848684					
		2484,375	0,694653856065602					
		2487,5	0,695204718845188					
		2490,625	0,692205389265969					
		2493,75	0,69225517654604					
		2496,875	0,69137996400711					
		2500	0,693976530266698					
		2503,125	0,696040330718531					
		2506,25	0,695934127028102					
		2509,375	0,695037989941121					
		2512,5	0,695972934369042					
		2515,625	0,69555287517769					
		2518,75	0,696258886973633					
		2521,875	0,696055158444565					
		2525	0,694049709729146					
		2528,125	0,693191288208619					
		2531,25	0,693960160782547					
		2534,375	0,695870907299718					
		2537,5	0,694234344828236					
		2540,625	0,694488288413696					
		2543,75	0,694338969352677					
		2546,875	0,694772179167534					
		2550	0,696188240925343					
		2553,125	0,695367652236176					
		2556,25	0,694567374426009					
		2559,375	0,695090129555964					
		2562,5	0,696413018918138					
		2565,625	0,697163879605589					
		2568,75	0,694692871310065					
		2571,875	0,695474381283052					
		2575	0,695034076516926					
		2578,125	0,694198046306396					
		2581,25	0,69288220747578					
		2584,375	0,692022475999018					
		2587,5	0,694232711958673					
		2590,625	0,693366212378207					
		2593,75	0,69167135620797					
		2596,875	0,692032498895943					
		2600	0,693744633001397					
		2603,125	0,694642566247138					
		2606,25	0,693778883764241					
		2609,375	0,695227798034654					
		2612,5	0,696889355116161					
		2615,625	0,696092683387414					
		2618,75	0,694866432677342					
		2621,875	0,697544525757684					
		2625	0,696791692928445					
		2628,125	0,697003857612127					
		2631,25	0,696187160682445					
		2634,375	0,700734149648397					
		2637,5	0,699877823242989					
		2640,625	0,697619554315216					
		2643,75	0,697903582688633					
		2646,875	0,696582662297212					
		2650	0,697445563746258					
		2653,125	0,695652242115284					
		2656,25	0,693471925523381					
		2659,375	0,696331534950115					
		2662,5	0,697373658183216					
		2665,625	0,696383862273057					
		2668,75	0,697816652777864					
		2671,875	0,695265563408961					
		2675	0,69320495874447					
		2678,125	0,695064132695812					
		2681,25	0,694373537769608					
		2684,375	0,694279479157543					
		2687,5	0,694419346616508					
		2690,625	0,69436389395841					
		2693,75	0,692874288958706					
		2696,875	0,691100514335776					
		2700	0,694491276959144					
		2703,125	0,694262414409184					
		2706,25	0,693247969665392					
		2709,375	0,692952649735312					
		2712,5	0,693517082820811					
		2715,625	0,693769456147123					
		2718,75	0,693028134629038					
		2721,875	0,693214586859894					
		2725	0,692505760179478					
		2728,125	0,692136430688446					
		2731,25	0,691514341492419					
		2734,375	0,690918451537832					
		2737,5	0,692328510450204					
		2740,625	0,692667146367309					
		2743,75	0,692943343127481					
		2746,875	0,693469228070863					
		2750	0,691354617037225					
		2753,125	0,691667573244864					
		2756,25	0,692793419992281					
		2759,375	0,694169510018183					
		2762,5	0,694677921876697					
		2765,625	0,694377884506112					
		2768,75	0,692012100486392					
		2771,875	0,693293438994484					
		2775	0,694544767249134					
		2778,125	0,694798028994872					
		2781,25	0,695943401280976					
		2784,375	0,694633236345224					
		2787,5	0,693648046590859					
		2790,625	0,693136018754957					
		2793,75	0,693867933872848					
		2796,875	0,692269924029214					
		2800	0,691250981859906					
		2803,125	0,693120690662072					
		2806,25	0,691789089499687					
		2809,375	0,691874273624858					
		2812,5	0,693014910802606					
		2815,625	0,693695012201679					
		2818,75	0,692381616300533					
