Frequency in Hz	Acrylic_95 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95 Sound Absorption Coefficient continuous	
		350	0,22813469897924	
		353,125	0,217195987840758	
		356,25	0,208559704556329	
		359,375	0,210990901894109	
		362,5	0,232320348529005	
		365,625	0,225394105717006	
		368,75	0,226636525706117	
		371,875	0,255839927206803	
		375	0,26029679502474	
		378,125	0,248493010876728	
		381,25	0,210322972959727	
		384,375	0,230981843239009	
		387,5	0,250957374029703	
		390,625	0,267779032398495	
		393,75	0,251180609742887	
		396,875	0,248333426895519	
		400	0,232388689619328	
		403,125	0,252024470461521	
		406,25	0,268123227178483	
		409,375	0,240977423591729	
		412,5	0,256914140234962	
		415,625	0,289763964423979	
		418,75	0,316576963289918	
		421,875	0,30275824737379	
		425	0,301316948434915	
		428,125	0,26139408835168	
		431,25	0,273092394109812	
		434,375	0,31994079296398	
		437,5	0,321828735046047	
		440,625	0,309745052741335	
		443,75	0,321578891670497	
		446,875	0,307552588077029	
		450	0,308607810998234	
		453,125	0,320295550277889	
		456,25	0,339615865068079	
		459,375	0,333996335811026	
		462,5	0,332080525339968	
		465,625	0,328299540218138	
		468,75	0,328963755242416	
		471,875	0,337713639478519	
		475	0,326535145596799	
		478,125	0,329140327171237	
		481,25	0,343373446707545	
		484,375	0,346157932251757	
		487,5	0,347961639041334	
		490,625	0,34682333215651	
		493,75	0,34876267016999	
		496,875	0,36293714292273	
		500	0,360274950432688	
		503,125	0,362220317423113	
		506,25	0,359126077382722	
		509,375	0,362391424921436	
		512,5	0,36961392646224	
		515,625	0,376214573855166	
		518,75	0,369061029908188	
		521,875	0,368503843850912	
		525	0,380399790357069	
		528,125	0,382798138071452	
		531,25	0,382765022361809	
		534,375	0,38446523596417	
		537,5	0,389497619972099	
		540,625	0,38819296930938	
		543,75	0,393475792921292	
		546,875	0,402433298044056	
		550	0,400025377893831	
		553,125	0,400037419311804	
		556,25	0,415108575963978	
		559,375	0,416012440833522	
		562,5	0,413642445953593	
		565,625	0,410261819417314	
		568,75	0,423032935862794	
		571,875	0,426493224318392	
		575	0,42598672628638	
		578,125	0,425980987721326	
		581,25	0,433173198893336	
		584,375	0,434970658830779	
		587,5	0,435640662072076	
		590,625	0,43759250310468	
		593,75	0,441719715861695	
		596,875	0,444336519579826	
		600	0,443781601155764	
		603,125	0,448611531333099	
		606,25	0,455659658911684	
		609,375	0,463038464830185	
		612,5	0,462323211483687	
		615,625	0,467704788245399	
		618,75	0,466903911722965	
		621,875	0,472316112247419	
		625	0,475721383652535	
		628,125	0,476370729262542	
		631,25	0,478038341066744	
		634,375	0,482257158473991	
		637,5	0,487856762722795	
		640,625	0,489546121079199	
		643,75	0,48852212971107	
		646,875	0,493301392100654	
		650	0,496524937700373	
		653,125	0,496414047264101	
		656,25	0,497621023870953	
		659,375	0,49998842129137	
		662,5	0,50536111285103	
		665,625	0,505234333539608	
		668,75	0,509190367460922	
		671,875	0,512934775707359	
		675	0,515781059257066	
		678,125	0,520986112332224	
		681,25	0,522893367539096	
		684,375	0,524698441020803	
		687,5	0,530452567330417	
		690,625	0,532492568150673	
		693,75	0,534943832081783	
		696,875	0,538922353945608	
		700	0,536540981463682	
		703,125	0,536692780042564	
		706,25	0,544561202181216	
		709,375	0,546390718529824	
		712,5	0,545908685405338	
		715,625	0,550899572011361	
		718,75	0,55694087563602	
		721,875	0,554390077356486	
		725	0,558090207103298	
		728,125	0,562652496603833	
		731,25	0,560202612101584	
		734,375	0,564791342774202	
		737,5	0,567069122342457	
		740,625	0,570630166329841	
		743,75	0,572851661368702	
		746,875	0,572560471774707	
		750	0,579622110785518	
		753,125	0,581971181279777	
		756,25	0,583395069875412	
		759,375	0,583329713713545	
		762,5	0,589002311452306	
		765,625	0,590793071719854	
		768,75	0,598119543530172	
		771,875	0,599622414312756	
		775	0,598877085044897	
		778,125	0,604651531195031	
		781,25	0,605472936079219	
		784,375	0,607596592961228	
		787,5	0,613096506558484	
		790,625	0,61387698289401	
		793,75	0,615960045580724	
		796,875	0,619088589979101	
		800	0,620965273101896	
		803,125	0,619503146035212	
		806,25	0,618598416822652	
		809,375	0,622874040280125	
		812,5	0,62755816970654	
		815,625	0,633028864384441	
		818,75	0,634322221624498	
		821,875	0,635803954245426	
		825	0,63765229152675	
		828,125	0,641640733385871	
		831,25	0,645164461084208	
		834,375	0,644994976743492	
		837,5	0,643470859606533	
		840,625	0,646461591951917	
		843,75	0,65031108522303	
		846,875	0,649775635778322	
		850	0,658664382584478	
		853,125	0,657757317377049	
		856,25	0,658326124719675	
		859,375	0,660881838442907	
		862,5	0,662554657941147	
		865,625	0,664805903403595	
		868,75	0,66546439179888	
		871,875	0,666497925855073	
		875	0,667991482255658	
		878,125	0,674626456169214	
		881,25	0,674532465726369	
		884,375	0,684246830717802	
		887,5	0,68664205120867	
		890,625	0,68716187389577	
