Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Im	
1128,125	2,28296709060669	1128,125	-1,35958313941956	
1131,25	2,2385847568512	1131,25	-1,34745919704437	
1134,375	2,23463773727417	1134,375	-1,34026956558228	
1137,5	2,21134209632874	1137,5	-1,34602844715118	
1140,625	2,16473650932312	1140,625	-1,33318781852722	
1143,75	2,15617823600769	1143,75	-1,3191032409668	
1146,875	2,13215184211731	1146,875	-1,30444657802582	
1150	2,09181356430054	1150	-1,28307139873505	
1153,125	2,07395005226135	1153,125	-1,25883364677429	
1156,25	2,0494372844696	1156,25	-1,26299726963043	
1159,375	2,00115633010864	1159,375	-1,25356686115265	
1162,5	1,99342775344849	1162,5	-1,2272287607193	
1165,625	1,9542555809021	1165,625	-1,18968725204468	
1168,75	1,93618607521057	1168,75	-1,1701420545578	
1171,875	1,9105259180069	1171,875	-1,13659250736237	
1175	1,88315618038177	1175	-1,10166323184967	
1178,125	1,85921847820282	1178,125	-1,07602882385254	
1181,25	1,84160482883453	1181,25	-1,04821312427521	
1184,375	1,81876730918884	1184,375	-0,99599701166153	
1187,5	1,7930212020874	1187,5	-0,97083455324173	
1190,625	1,78682565689087	1190,625	-0,923807621002197	
1193,75	1,78313994407654	1193,75	-0,882733643054962	
1196,875	1,77406704425812	1196,875	-0,839361786842346	
1200	1,75359880924225	1200	-0,797063946723938	
1203,125	1,75473928451538	1203,125	-0,755833685398102	
1206,25	1,76264870166779	1206,25	-0,717900276184082	
1209,375	1,75191414356232	1209,375	-0,67877733707428	
1212,5	1,75736832618713	1212,5	-0,635993242263794	
1215,625	1,75582849979401	1215,625	-0,600048720836639	
1218,75	1,75508058071136	1218,75	-0,537917733192444	
1221,875	1,7830399274826	1221,875	-0,509811878204346	
1225	1,78709816932678	1225	-0,479742646217346	
1228,125	1,80779528617859	1228,125	-0,429810494184494	
1231,25	1,81003141403198	1231,25	-0,399862200021744	
1234,375	1,82876396179199	1234,375	-0,361544013023376	
1237,5	1,8495546579361	1237,5	-0,317308664321899	
1240,625	1,87156081199646	1240,625	-0,296143859624863	
1243,75	1,89944136142731	1243,75	-0,258364468812943	
1246,875	1,92157077789307	1246,875	-0,234167620539665	
1250	1,95293140411377	1250	-0,224407389760017	
1253,125	1,97610199451447	1253,125	-0,198751226067543	
1256,25	2,00089979171753	1256,25	-0,17692331969738	
1259,375	2,03185081481934	1259,375	-0,162142023444176	
1262,5	2,06098628044128	1262,5	-0,142826423048973	
1265,625	2,07997059822083	1265,625	-0,125259250402451	
1268,75	2,11308026313782	1268,75	-0,109488561749458	
1271,875	2,13412857055664	1271,875	-0,106575086712837	
1275	2,15413451194763	1275	-0,100598134100437	
1278,125	2,1813280582428	1278,125	-0,0959578529000282	
1281,25	2,20652270317078	1281,25	-0,0862777382135391	
1284,375	2,22086572647095	1284,375	-0,0771046280860901	
1287,5	2,24151134490967	1287,5	-0,0711240246891975	
1290,625	2,26545572280884	1290,625	-0,0669779777526855	
1293,75	2,27757501602173	1293,75	-0,0641910210251808	
1296,875	2,29428744316101	1296,875	-0,0681616887450218	
1300	2,31743741035461	1300	-0,0545326061546803	
1303,125	2,3353157043457	1303,125	-0,0510428957641125	
1306,25	2,34497952461243	1306,25	-0,0479586273431778	
1309,375	2,36309385299683	1309,375	-0,0491483882069588	
1312,5	2,38270545005798	1312,5	-0,0442386716604233	
1315,625	2,39834070205688	1315,625	-0,0382882840931416	
1318,75	2,40722417831421	1318,75	-0,040686447173357	
1321,875	2,41511344909668	1321,875	-0,0381665751338005	
1325	2,43840193748474	1325	-0,0342394709587097	
1328,125	2,45248675346375	1328,125	-0,0383663699030876	
1331,25	2,46217703819275	1331,25	-0,0402468740940094	
1334,375	2,48367500305176	1334,375	-0,0440363511443138	
1337,5	2,49379706382751	1337,5	-0,0372150726616383	
1340,625	2,50602221488953	1340,625	-0,0409473516047001	
1343,75	2,52185201644897	1343,75	-0,0365554168820381	
1346,875	2,52978038787842	1346,875	-0,0413111746311188	
1350	2,54321384429932	1350	-0,044927679002285	
1353,125	2,5545220375061	1353,125	-0,0427448451519012	
1356,25	2,57889795303345	1356,25	-0,0528947971761227	
1359,375	2,57731318473816	1359,375	-0,0565358735620975	
1362,5	2,58904337882996	1362,5	-0,059786681085825	
1365,625	2,60054564476013	1365,625	-0,0648189559578896	
1368,75	2,60604929924011	1368,75	-0,0705053806304932	
1371,875	2,61354684829712	1371,875	-0,0781308636069298	
1375	2,6273558139801	1375	-0,0810964778065681	
1378,125	2,63181209564209	1378,125	-0,0809897780418396	
1381,25	2,63575553894043	1381,25	-0,0993286520242691	
1384,375	2,64315462112427	1384,375	-0,0960886627435684	
1387,5	2,64113211631775	1387,5	-0,08609788864851	
1390,625	2,64411568641663	1390,625	-0,0859079360961914	
