Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Im	
1059,375	0,269763052463531	1059,375	-0,437051385641098	
1062,5	0,269243001937866	1062,5	-0,437023341655731	
1065,625	0,264800161123276	1065,625	-0,43761619925499	
1068,75	0,263417214155197	1068,75	-0,435808449983597	
1071,875	0,262348592281342	1071,875	-0,435532987117767	
1075	0,259630113840103	1075	-0,433981835842133	
1078,125	0,257715821266174	1078,125	-0,433385223150253	
1081,25	0,256842315196991	1081,25	-0,431307941675186	
1084,375	0,253637492656708	1084,375	-0,429839223623276	
1087,5	0,250719636678696	1087,5	-0,42850586771965	
1090,625	0,249534279108047	1090,625	-0,426866263151169	
1093,75	0,248348653316498	1093,75	-0,425674885511398	
1096,875	0,245350643992424	1096,875	-0,42553186416626	
1100	0,244415089488029	1100	-0,42435297369957	
1103,125	0,242440789937973	1103,125	-0,423130929470062	
1106,25	0,241400018334389	1106,25	-0,417974412441254	
1109,375	0,238484531641006	1109,375	-0,417436540126801	
1112,5	0,2391646951437	1112,5	-0,418947130441666	
1115,625	0,238174080848694	1115,625	-0,417007446289063	
1118,75	0,235877186059952	1118,75	-0,415052205324173	
1121,875	0,234428107738495	1121,875	-0,414222240447998	
1125	0,234808549284935	1125	-0,413850724697113	
1128,125	0,234091192483902	1128,125	-0,412342607975006	
1131,25	0,230644166469574	1131,25	-0,411415904760361	
1134,375	0,230719536542892	1134,375	-0,409360855817795	
1137,5	0,229265093803406	1137,5	-0,409512341022491	
1140,625	0,228736639022827	1140,625	-0,410349041223526	
1143,75	0,225651413202286	1143,75	-0,408648997545242	
1146,875	0,225574642419815	1146,875	-0,409489393234253	
1150	0,226849094033241	1150	-0,409890085458755	
1153,125	0,224916502833366	1153,125	-0,409032583236694	
1156,25	0,223210617899895	1156,25	-0,407275319099426	
1159,375	0,220971629023552	1159,375	-0,407488316297531	
1162,5	0,219351544976234	1162,5	-0,406612068414688	
1165,625	0,218132451176643	1165,625	-0,406558901071548	
1168,75	0,217675104737282	1168,75	-0,409328460693359	
1171,875	0,214048266410828	1171,875	-0,410158574581146	
1175	0,214193746447563	1175	-0,409640967845917	
1178,125	0,211939632892609	1178,125	-0,409708082675934	
1181,25	0,208704397082329	1181,25	-0,408833593130112	
1184,375	0,20507949590683	1184,375	-0,408282488584518	
1187,5	0,203762397170067	1187,5	-0,408111244440079	
1190,625	0,199360072612762	1190,625	-0,405992478132248	
1193,75	0,195808991789818	1193,75	-0,404530167579651	
1196,875	0,192048966884613	1196,875	-0,404005825519562	
1200	0,188788145780563	1200	-0,405048936605453	
1203,125	0,185044035315514	1203,125	-0,402108252048492	
1206,25	0,183548122644424	1206,25	-0,4028000831604	
1209,375	0,181587085127831	1209,375	-0,399865180253983	
1212,5	0,177486956119537	1212,5	-0,397322773933411	
1215,625	0,175914406776428	1215,625	-0,397477746009827	
1218,75	0,172014966607094	1218,75	-0,394754558801651	
1221,875	0,169371128082275	1221,875	-0,391879260540009	
1225	0,167263373732567	1225	-0,391453981399536	
1228,125	0,166503518819809	1228,125	-0,385591924190521	
1231,25	0,167210146784782	1231,25	-0,385168969631195	
1234,375	0,163864865899086	1234,375	-0,382664442062378	
1237,5	0,160367339849472	1237,5	-0,380608230829239	
1240,625	0,15700401365757	1240,625	-0,379749566316605	
1243,75	0,156390532851219	1243,75	-0,375031024217606	
1246,875	0,155983790755272	1246,875	-0,374670594930649	
1250	0,153582543134689	1250	-0,370924443006516	
1253,125	0,153217166662216	1253,125	-0,368830323219299	
1256,25	0,152842923998833	1256,25	-0,368042081594467	
1259,375	0,153274223208427	1259,375	-0,365379065275192	
1262,5	0,148484751582146	1262,5	-0,360716611146927	
1265,625	0,147899463772774	1265,625	-0,361585259437561	
1268,75	0,147377669811249	1268,75	-0,35921186208725	
1271,875	0,1460000872612	1271,875	-0,357416182756424	
1275	0,144350305199623	1275	-0,356088370084763	
1278,125	0,144950166344643	1278,125	-0,354379713535309	
1281,25	0,142576932907104	1281,25	-0,351451426744461	
1284,375	0,142040893435478	1284,375	-0,350947439670563	
1287,5	0,140522256493568	1287,5	-0,349445998668671	
1290,625	0,138723656535149	1290,625	-0,347827911376953	
1293,75	0,139435335993767	1293,75	-0,345809757709503	
1296,875	0,137943372130394	1296,875	-0,341703355312347	
1300	0,136059075593948	1300	-0,340003192424774	
1303,125	0,135998651385307	1303,125	-0,339528143405914	
1306,25	0,135781481862068	1306,25	-0,338056653738022	
1309,375	0,132184311747551	1309,375	-0,337880194187164	
1312,5	0,132306322455406	1312,5	-0,33735254406929	
1315,625	0,131171330809593	1315,625	-0,334178686141968	
1318,75	0,131850302219391	1318,75	-0,331156700849533	
1321,875	0,129118457436562	1321,875	-0,329255282878876	
1325	0,129574909806252	1325	-0,329052418470383	
1328,125	0,129242733120918	1328,125	-0,325507164001465	
1331,25	0,127089083194733	1331,25	-0,324607372283936	
1334,375	0,126522943377495	1334,375	-0,324604511260986	
1337,5	0,125089526176453	1337,5	-0,323123008012772	
1340,625	0,1243055164814	1340,625	-0,321197211742401	
1343,75	0,123807363212109	1343,75	-0,320147216320038	
1346,875	0,122280210256577	1346,875	-0,318926781415939	
1350	0,121457636356354	1350	-0,315715134143829	
1353,125	0,119963571429253	1353,125	-0,315098941326141	
1356,25	0,118425734341145	1356,25	-0,315678596496582	
1359,375	0,117885760962963	1359,375	-0,31339755654335	
1362,5	0,117921240627766	1362,5	-0,311529487371445	
1365,625	0,115777932107449	1365,625	-0,311979174613953	
1368,75	0,115654349327087	1368,75	-0,307931512594223	
1371,875	0,11643847823143	1371,875	-0,304463893175125	
1375	0,114450305700302	1375	-0,30368384718895	
1378,125	0,11348869651556	1378,125	-0,303621083498001	
1381,25	0,111975990235806	1381,25	-0,301654875278473	
1384,375	0,111678451299667	1384,375	-0,299570232629776	
1387,5	0,111220054328442	1387,5	-0,298365861177444	
1390,625	0,110716231167316	1390,625	-0,296288758516312	
1393,75	0,110579021275043	1393,75	-0,295039623975754	
1396,875	0,109675467014313	1396,875	-0,293552845716476	
1400	0,108591921627522	1400	-0,293039351701736	
