Frequency in Hz	Wool_92_HF_1 Sound Absorption Coefficient continuous	Frequency in Hz	Wool_92_LF_1 Sound Absorption Coefficient continuous	Frequency in Hz	Wool_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_92_HF_1 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_92_LF_1 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient 1/3-octave	
650	0,56252353910269	193,75	0,120002658114851	650	0,51323023762011	193,75	0,117676229689639	193,75	0,114651720013808	650	0,494645813470818	650	0,43218551085295	193,75	0,103797115865666	193,75	0,106720332744781	650	0,381606186576504	650	0,316319305367675	193,75	0,097575944904407	193,75	0,101703149924586	650	0,240050182409548	650	0,173980396907896	193,75	0,103703363372496																																	
653,125	0,568860122656121	196,875	0,116085291841696	653,125	0,518525413231331	196,875	0,113380040922419	196,875	0,110305785563229	653,125	0,500186277806399	653,125	0,43803184471354	196,875	0,0990601133689842	196,875	0,101953012119857	653,125	0,387218134348901	653,125	0,321894973724502	196,875	0,0926523180723992	196,875	0,0966669239863882	653,125	0,245606510701735	653,125	0,179265131749758	196,875	0,0985724886714209																																	
656,25	0,56729253959318	200	0,102009018124372	656,25	0,52283963680249	200	0,0999890780516038	200	0,0969011089838208	656,25	0,50466138180729	656,25	0,442732347443178	200	0,08515160005433	200	0,0880091390897396	656,25	0,391820293007127	656,25	0,326303446907658	200	0,078564746679706	200	0,0823014459693969	656,25	0,249954416474196	656,25	0,183311450819188	200	0,0840421863689764																																	
659,375	0,567916229287091	203,125	0,117438385343892	659,375	0,525469538565573	203,125	0,0931388775360532	203,125	0,0898721065090843	659,375	0,507369290825577	659,375	0,445308843779169	203,125	0,0775471002126278	203,125	0,0805146160818589	659,375	0,39375269401071	659,375	0,328050184243704	203,125	0,0702647966056758	203,125	0,0743263333283943	659,375	0,250772593549168	659,375	0,183340139912711	203,125	0,0758563634664775																																	
662,5	0,572506157494095	206,25	0,108426883719764	662,5	0,524982705154099	206,25	0,108819883442603	206,25	0,105220315290261	662,5	0,506738034454874	662,5	0,444036787045903	206,25	0,0925338189537439	206,25	0,0953561247939619	662,5	0,391713556525009	662,5	0,325217292424258	206,25	0,0856749980900632	206,25	0,0887303150716517	662,5	0,246779422357249	662,5	0,178198284393167	206,25	0,090050996499533																																	
665,625	0,576381951854549	209,375	0,124182160014351	665,625	0,526210069846187	209,375	0,113701935909907	209,375	0,110085973589066	665,625	0,507887536753019	665,625	0,444593460400594	209,375	0,0972514993998594	209,375	0,0998997110308422	665,625	0,391630736912537	665,625	0,324587431657191	209,375	0,0898634012024193	209,375	0,0929312511081629	665,625	0,245144353147345	665,625	0,175587332096697	209,375	0,0938707795955001																																	
668,75	0,576135157754358	212,5	0,132088510497804	668,75	0,531291336628202	212,5	0,101449919264891	212,5	0,0976641396386041	668,75	0,51332601633872	668,75	0,450287475805608	212,5	0,0843314042634755	212,5	0,0869138638761124	668,75	0,397211347531764	668,75	0,330212751600389	212,5	0,0759142974133322	212,5	0,0796083588295924	668,75	0,250475320386633	668,75	0,18072640390225	212,5	0,080419715681468																																	
671,875	0,582543195543931	215,625	0,132414123402072	671,875	0,534906413728961	215,625	0,122442705852416	215,625	0,118575317205057	671,875	0,517146704683088	671,875	0,45427903994853	215,625	0,104969162371651	215,625	0,10719040822593	671,875	0,401091847345633	671,875	0,333891429583134	215,625	0,0967116042745422	215,625	0,0992196340495719	671,875	0,253844985741899	671,875	0,183762601437076	215,625	0,0995884108754924																																	
675	0,587933292232688	218,75	0,141745292203814	675	0,539856839799747	218,75	0,118197216548199	218,75	0,114328913118338	675	0,522109057877261	675	0,459341133297372	218,75	0,100390354237295	218,75	0,102535234704317	675	0,405823673469061	675	0,33845743147958	218,75	0,0918617590286358	218,75	0,0942417742662947	675	0,257772551052095	675	0,187270318254594	218,75	0,0944326003749414																																	
678,125	0,588021630447307	221,875	0,132798212762184	678,125	0,543116945100875	221,875	0,122917414680642	221,875	0,11892751621419	678,125	0,525470415900262	678,125	0,462693723538318	221,875	0,104448168834441	221,875	0,106495772197492	678,125	0,408874024882339	678,125	0,341034649772157	221,875	0,0951874386413415	221,875	0,0976964556428093	678,125	0,259889438938894	678,125	0,189144099019975	221,875	0,0975188910059509																																	
