Frequency in Hz	Wool_96 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96 Sound Reflection Factor continuous Im	
837,5	0,467040926218033	837,5	-0,544148623943329	
840,625	0,466275036334991	840,625	-0,54730099439621	
843,75	0,462628424167633	843,75	-0,548191368579865	
846,875	0,465529710054398	846,875	-0,552413702011108	
850	0,46497106552124	850	-0,558084547519684	
853,125	0,46562072634697	853,125	-0,559617221355438	
856,25	0,465073615312576	856,25	-0,557574331760406	
859,375	0,457629531621933	859,375	-0,558973670005798	
862,5	0,452973127365112	862,5	-0,566367089748383	
865,625	0,449878513813019	865,625	-0,570911228656769	
868,75	0,447130769491196	868,75	-0,574632048606873	
871,875	0,437337189912796	871,875	-0,580043792724609	
875	0,43053075671196	875	-0,57451057434082	
878,125	0,423463493585587	878,125	-0,578764379024506	
881,25	0,414152830839157	881,25	-0,576873362064362	
884,375	0,436406284570694	884,375	-0,558204233646393	
887,5	0,430314004421234	887,5	-0,551929533481598	
890,625	0,422821372747421	890,625	-0,552784442901611	
893,75	0,418230891227722	893,75	-0,557724893093109	
896,875	0,410740315914154	896,875	-0,55415266752243	
900	0,410074681043625	900	-0,550401270389557	
903,125	0,404650270938873	903,125	-0,545843541622162	
906,25	0,401716113090515	906,25	-0,543558239936829	
909,375	0,400035381317139	909,375	-0,544931650161743	
912,5	0,394278407096863	912,5	-0,544865906238556	
915,625	0,391216307878494	915,625	-0,541248857975006	
918,75	0,389486193656921	918,75	-0,537646591663361	
921,875	0,38744729757309	921,875	-0,533455967903137	
925	0,385667204856873	925	-0,532258272171021	
928,125	0,386496245861053	928,125	-0,532834708690643	
931,25	0,379070401191711	931,25	-0,53141188621521	
934,375	0,37838277220726	934,375	-0,529993951320648	
937,5	0,375802606344223	937,5	-0,528473496437073	
940,625	0,374921143054962	940,625	-0,527206420898438	
943,75	0,370502591133118	943,75	-0,52842515707016	
946,875	0,368486344814301	946,875	-0,527150571346283	
950	0,367016941308975	950	-0,524986922740936	
953,125	0,366574496030808	953,125	-0,523337960243225	
956,25	0,364081591367722	956,25	-0,521084547042847	
959,375	0,360755443572998	959,375	-0,520355999469757	
962,5	0,358639627695084	962,5	-0,521637618541718	
965,625	0,357211887836456	965,625	-0,520439386367798	
968,75	0,357494056224823	968,75	-0,520815849304199	
971,875	0,353006571531296	971,875	-0,519197583198547	
975	0,352127581834793	975	-0,517748177051544	
978,125	0,350405305624008	978,125	-0,517143189907074	
981,25	0,347316116094589	981,25	-0,515417158603668	
984,375	0,346005529165268	984,375	-0,516580104827881	
987,5	0,343950778245926	987,5	-0,516154110431671	
990,625	0,342412203550339	990,625	-0,514812707901001	
993,75	0,339451938867569	993,75	-0,516818821430206	
996,875	0,337861269712448	996,875	-0,516093969345093	
1000	0,334510684013367	1000	-0,516509115695953	
1003,125	0,33284318447113	1003,125	-0,514430224895477	
1006,25	0,330320507287979	1006,25	-0,513665378093719	
1009,375	0,326931804418564	1009,375	-0,513310015201569	
1012,5	0,325894474983215	1012,5	-0,511828601360321	
1015,625	0,324099391698837	1015,625	-0,512135446071625	
1018,75	0,31895986199379	1018,75	-0,511319637298584	
1021,875	0,31877389550209	1021,875	-0,509742259979248	
1025	0,315302491188049	1025	-0,507880389690399	
1028,125	0,313896775245667	1028,125	-0,506708860397339	
1031,25	0,313250720500946	1031,25	-0,507268071174622	
1034,375	0,310560971498489	1034,375	-0,506091773509979	
1037,5	0,30864691734314	1037,5	-0,504558920860291	
1040,625	0,306360810995102	1040,625	-0,504511415958405	
1043,75	0,305499285459518	1043,75	-0,503145396709442	
1046,875	0,303924530744553	1046,875	-0,501659274101257	
1050	0,300771176815033	1050	-0,502188205718994	
1053,125	0,300260275602341	1053,125	-0,502621054649353	
1056,25	0,297316640615463	1056,25	-0,501573085784912	
1059,375	0,297093898057938	1059,375	-0,50119686126709	
1062,5	0,295647829771042	1062,5	-0,50119936466217	
1065,625	0,291221022605896	1065,625	-0,500810086727142	
1068,75	0,291091054677963	1068,75	-0,498408287763596	
1071,875	0,2891646027565	1071,875	-0,497736364603043	
1075	0,287533760070801	1075	-0,497618049383163	
1078,125	0,285376638174057	1078,125	-0,49903079867363	
1081,25	0,280350059270859	1081,25	-0,495151579380035	
1084,375	0,280312329530716	1084,375	-0,495377749204636	
1087,5	0,278706163167953	1087,5	-0,494907826185226	
1090,625	0,277294993400574	1090,625	-0,494026303291321	
1093,75	0,275247186422348	1093,75	-0,493720263242722	
1096,875	0,272306829690933	1096,875	-0,491699010133743	
1100	0,270222783088684	1100	-0,490752398967743	
1103,125	0,268343865871429	1103,125	-0,490476667881012	
