Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Im	
1303,125	0,349420309066772	1303,125	-0,199099466204643	
1306,25	0,347995489835739	1306,25	-0,200331136584282	
1309,375	0,343763113021851	1309,375	-0,207235082983971	
1312,5	0,342673659324646	1312,5	-0,209443226456642	
1315,625	0,337871164083481	1315,625	-0,210759773850441	
1318,75	0,333981961011887	1318,75	-0,210591673851013	
1321,875	0,327761918306351	1321,875	-0,214571967720985	
1325	0,325557857751846	1325	-0,217416062951088	
1328,125	0,318854212760925	1328,125	-0,218019261956215	
1331,25	0,312192469835281	1331,25	-0,222514525055885	
1334,375	0,308022886514664	1334,375	-0,225275620818138	
1337,5	0,300401628017426	1337,5	-0,227053537964821	
1340,625	0,292416274547577	1340,625	-0,229273334145546	
1343,75	0,285694122314453	1343,75	-0,230952441692352	
1346,875	0,27502229809761	1346,875	-0,230022147297859	
1350	0,264352738857269	1350	-0,225742056965828	
1353,125	0,255113571882248	1353,125	-0,226824924349785	
1356,25	0,245731264352798	1356,25	-0,228822767734528	
1359,375	0,234652236104012	1359,375	-0,223358169198036	
1362,5	0,226837605237961	1362,5	-0,216361343860626	
1365,625	0,211688548326492	1365,625	-0,212032034993172	
1368,75	0,206681445240974	1368,75	-0,19769823551178	
1371,875	0,204055562615395	1371,875	-0,185813963413239	
1375	0,195060282945633	1375	-0,176329523324966	
1378,125	0,187919542193413	1378,125	-0,167741328477859	
1381,25	0,183449894189835	1381,25	-0,155546814203262	
1384,375	0,182887077331543	1384,375	-0,143570691347122	
1387,5	0,18129064142704	1387,5	-0,132428929209709	
1390,625	0,182077005505562	1390,625	-0,120589472353458	
1393,75	0,182926908135414	1393,75	-0,110632248222828	
1396,875	0,185824856162071	1396,875	-0,100599750876427	
1400	0,187036111950874	1400	-0,0906303226947784	
1403,125	0,191504314541817	1403,125	-0,0814713090658188	
1406,25	0,196014732122421	1406,25	-0,0744773894548416	
1409,375	0,201236918568611	1409,375	-0,0668781623244286	
1412,5	0,204305440187454	1412,5	-0,0611692257225513	
1415,625	0,20951384305954	1415,625	-0,0551602393388748	
1418,75	0,21554896235466	1418,75	-0,0488941706717014	
1421,875	0,219075754284859	1421,875	-0,0445994734764099	
1425	0,224178537726402	1425	-0,042533989995718	
1428,125	0,229832142591476	1428,125	-0,0402035005390644	
