Frequency in Hz	Wool_99 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_99 Sound Reflection Factor continuous Im	
903.125	0.498991310596466	903.125	-0.718779563903809	
906.25	0.49658790230751	906.25	-0.72124183177948	
909.375	0.496770352125168	909.375	-0.726109802722931	
912.5	0.490440845489502	912.5	-0.729489684104919	
915.625	0.486902505159378	915.625	-0.729996144771576	
918.75	0.484213501214981	918.75	-0.728363752365112	
921.875	0.481848686933517	921.875	-0.726957499980927	
925	0.480076134204865	925	-0.728360712528229	
928.125	0.481481164693832	928.125	-0.731907486915588	
931.25	0.472422569990158	931.25	-0.733161509037018	
934.375	0.471081495285034	934.375	-0.73453289270401	
937.5	0.467969655990601	937.5	-0.734840869903564	
940.625	0.466858297586441	940.625	-0.73517107963562	
943.75	0.461221843957901	943.75	-0.739745199680328	
946.875	0.459776908159256	946.875	-0.740344524383545	
950	0.457434415817261	950	-0.740437924861908	
953.125	0.45724681019783	953.125	-0.740862905979156	
956.25	0.452627450227737	956.25	-0.740069687366486	
959.375	0.44709649682045	959.375	-0.741708338260651	
962.5	0.444951832294464	962.5	-0.745316028594971	
965.625	0.442946821451187	965.625	-0.745764434337616	
968.75	0.443376451730728	968.75	-0.747998833656311	
971.875	0.436785370111465	971.875	-0.748320043087006	
975	0.435315370559692	975	-0.748039066791534	
978.125	0.432908445596695	978.125	-0.748936831951141	
981.25	0.428411662578583	981.25	-0.748402714729309	
984.375	0.42681810259819	984.375	-0.751427531242371	
987.5	0.424027383327484	987.5	-0.752523362636566	
990.625	0.421883046627045	990.625	-0.752228498458862	
993.75	0.417948752641678	993.75	-0.756413102149963	
996.875	0.416373580694199	996.875	-0.757014095783234	
1000	0.412242084741592	1000	-0.75947380065918	
1003.125	0.41056826710701	1003.125	-0.758413851261139	
1006.25	0.407747149467468	1006.25	-0.759039103984833	
1009.375	0.403498947620392	1009.375	-0.760292530059814	
1012.5	0.40244659781456	1012.5	-0.760504126548767	
1015.625	0.401238262653351	1015.625	-0.76323139667511	
1018.75	0.394222050905228	1018.75	-0.765015065670013	
1021.875	0.393706649541855	1021.875	-0.764390587806702	
1025	0.388288855552673	1025	-0.764818251132965	
1028.125	0.386540085077286	1028.125	-0.765845835208893	
1031.25	0.385898321866989	1031.25	-0.768244028091431	
1034.375	0.381565988063812	1034.375	-0.768538057804108	
1037.5	0.378473520278931	1037.5	-0.768483638763428	
1040.625	0.375306814908981	1040.625	-0.770620346069336	
1043.75	0.373494118452072	1043.75	-0.77055299282074	
1046.875	0.371126115322113	1046.875	-0.770057678222656	
1050	0.366541564464569	1050	-0.77342677116394	
1053.125	0.364811569452286	1053.125	-0.775858283042908	
1056.25	0.360233008861542	1056.25	-0.775921106338501	
1059.375	0.359970778226852	1059.375	-0.776481509208679	
1062.5	0.357453316450119	1062.5	-0.778094947338104	
1065.625	0.351479053497314	1065.625	-0.77936726808548	
1068.75	0.350891143083572	1068.75	-0.776729643344879	
1071.875	0.346974104642868	1071.875	-0.777613341808319	
1075	0.345094442367554	1075	-0.779102563858032	
1078.125	0.34278666973114	1078.125	-0.782995402812958	
1081.25	0.334212899208069	1081.25	-0.779622673988342	
1084.375	0.333858877420425	1084.375	-0.781865417957306	
1087.5	0.331444263458252	1087.5	-0.782889723777771	
1090.625	0.329464942216873	1090.625	-0.782989084720612	
1093.75	0.326563864946365	1093.75	-0.784273266792297	
1096.875	0.321668386459351	1096.875	-0.784028947353363	
1100	0.317726641893387	1100	-0.784622550010681	
1103.125	0.313906848430634	1103.125	-0.785673320293427	
1106.25	0.312848091125488	1106.25	-0.782997906208038	
1109.375	0.308092892169952	1109.375	-0.78788959980011	
1112.5	0.308724373579025	1112.5	-0.788244485855103	
1115.625	0.304060101509094	1115.625	-0.783600211143494	
1118.75	0.301716864109039	1118.75	-0.790149390697479	
1121.875	0.30097907781601	1121.875	-0.787692546844482	
1125	0.298244446516037	1125	-0.789523899555206	
1128.125	0.296271651983261	1128.125	-0.792206108570099	
1131.25	0.286301285028458	1131.25	-0.790837228298187	
1134.375	0.287712514400482	1134.375	-0.789600551128387	
1137.5	0.288963615894318	1137.5	-0.79368382692337	
1140.625	0.279049128293991	1140.625	-0.796198487281799	
1143.75	0.27959531545639	1143.75	-0.794669985771179	
1146.875	0.276513695716858	1146.875	-0.79642391204834	
1150	0.26762068271637	1150	-0.793818116188049	
1153.125	0.268392264842987	1153.125	-0.792839109897614	
1156.25	0.270684361457825	1156.25	-0.795391380786896	
1159.375	0.263219773769379	1159.375	-0.798981726169586	
1162.5	0.264518976211548	1162.5	-0.795050740242004	
1165.625	0.259411215782166	1165.625	-0.794470846652985	
1168.75	0.258008390665054	1168.75	-0.795711040496826	
