Frequency in Hz	Silk_98 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_98 Normalized Surface Impedance continuous Im	
1187,5	0,977048516273499	1187,5	-0,874067962169647	
1190,625	0,978578567504883	1190,625	-0,870919823646545	
1193,75	0,979420900344849	1193,75	-0,870521545410156	
1196,875	0,980787456035614	1196,875	-0,86338347196579	
1200	0,975540220737457	1200	-0,856617271900177	
1203,125	0,978152751922607	1203,125	-0,852644145488739	
1206,25	0,981945216655731	1206,25	-0,848227798938751	
1209,375	0,974672853946686	1209,375	-0,842462956905365	
1212,5	0,974015951156616	1212,5	-0,835099518299103	
1215,625	0,976917624473572	1215,625	-0,834415793418884	
1218,75	0,972793400287628	1218,75	-0,824578642845154	
1221,875	0,976621031761169	1221,875	-0,822400689125061	
1225	0,976150393486023	1225	-0,821521401405334	
1228,125	0,974197149276733	1228,125	-0,809318959712982	
1231,25	0,977075815200806	1231,25	-0,808114051818848	
1234,375	0,979937374591827	1234,375	-0,806840479373932	
1237,5	0,975728213787079	1237,5	-0,800948917865753	
1240,625	0,979455292224884	1240,625	-0,794794142246246	
1243,75	0,981026709079742	1243,75	-0,79053270816803	
1246,875	0,982157647609711	1246,875	-0,787492156028748	
1250	0,985883831977844	1250	-0,780001819133759	
1253,125	0,984505414962769	1253,125	-0,777256369590759	
1256,25	0,984594643115997	1256,25	-0,769296944141388	
1259,375	0,988752067089081	1259,375	-0,767614364624023	
1262,5	0,991654098033905	1262,5	-0,765347838401794	
1265,625	0,993526875972748	1265,625	-0,762109994888306	
1268,75	0,994530737400055	1268,75	-0,759045541286469	
1271,875	0,996943116188049	1271,875	-0,755410373210907	
1275	0,99717789888382	1275	-0,753260910511017	
1278,125	1,00034523010254	1278,125	-0,749951481819153	
1281,25	1,00015532970428	1281,25	-0,747969806194305	
1284,375	1,00319397449493	1284,375	-0,746115863323212	
1287,5	1,00368404388428	1287,5	-0,745362818241119	
1290,625	1,00242447853088	1290,625	-0,74238133430481	
1293,75	1,00545167922974	1293,75	-0,740348339080811	
1296,875	1,00703859329224	1296,875	-0,736092627048492	
1300	1,00504422187805	1300	-0,738311171531677	
1303,125	1,00389218330383	1303,125	-0,735701560974121	
1306,25	1,00653719902039	1306,25	-0,733441174030304	
1309,375	1,00660121440887	1309,375	-0,729474544525146	
1312,5	1,00587248802185	1312,5	-0,727196991443634	
1315,625	1,00513553619385	1315,625	-0,727369725704193	
1318,75	1,00620830059052	1318,75	-0,722274541854858	
1321,875	1,00759184360504	1321,875	-0,722122967243195	
1325	1,0070858001709	1325	-0,720754981040955	
1328,125	1,00248181819916	1328,125	-0,71793121099472	
1331,25	1,00304281711578	1331,25	-0,713306963443756	
1334,375	0,998623728752136	1334,375	-0,710178971290588	
1337,5	1,00080621242523	1337,5	-0,708206832408905	
1340,625	1,00143814086914	1340,625	-0,702839374542236	
1343,75	1,00133323669434	1343,75	-0,701842069625854	
1346,875	1,00148355960846	1346,875	-0,69578742980957	
1350	0,999841511249542	1350	-0,69260448217392	
1353,125	1,00065684318542	1353,125	-0,691468477249146	
1356,25	0,996197700500488	1356,25	-0,687329113483429	
1359,375	1,0000501871109	1359,375	-0,682625353336334	
1362,5	1,00057053565979	1362,5	-0,678967714309692	
1365,625	1,00006484985352	1365,625	-0,676922738552094	
1368,75	1,0016108751297	1368,75	-0,674657940864563	
1371,875	1,00060439109802	1371,875	-0,670641124248505	
1375	0,999088764190674	1375	-0,670175194740295	
1378,125	0,99931663274765	1378,125	-0,669628143310547	
1381,25	0,995760858058929	1381,25	-0,663056015968323	
1384,375	0,997100591659546	1384,375	-0,662239134311676	
1387,5	1,00003254413605	1387,5	-0,660569608211517	
1390,625	1,00048995018005	1390,625	-0,65681517124176	
1393,75	0,999758660793304	1393,75	-0,65302175283432	
1396,875	0,998436987400055	1396,875	-0,651184499263763	
1400	0,998748779296875	1400	-0,648326277732849	
1403,125	0,996607899665833	1403,125	-0,646511673927307	
1406,25	0,994360029697418	1406,25	-0,644859969615936	
1409,375	0,992111206054688	1409,375	-0,641089141368866	
1412,5	0,993133783340454	1412,5	-0,638370633125305	
1415,625	0,990010619163513	1415,625	-0,634617924690247	
1418,75	0,988293647766113	1418,75	-0,632700979709625	
1421,875	0,988871037960052	1421,875	-0,62977147102356	
1425	0,98689991235733	1425	-0,627077877521515	
1428,125	0,980820655822754	1428,125	-0,62269926071167	
1431,25	0,982007265090942	1431,25	-0,6202232837677	
1434,375	0,980918765068054	1434,375	-0,615718066692352	
1437,5	0,980167210102081	1437,5	-0,607744693756104	
1440,625	0,98014235496521	1440,625	-0,609248340129852	
1443,75	0,971354246139526	1443,75	-0,600056767463684	
1446,875	0,974710881710052	1446,875	-0,597111940383911	
1450	0,972846806049347	1450	-0,591188251972198	
1453,125	0,971441030502319	1453,125	-0,586555659770966	
1456,25	0,968262553215027	1456,25	-0,579902470111847	
1459,375	0,968619704246521	1459,375	-0,574947893619537	
1462,5	0,97029709815979	1462,5	-0,568872094154358	
1465,625	0,966928362846375	1465,625	-0,564886748790741	
1468,75	0,966159403324127	1468,75	-0,55485999584198	
1471,875	0,965091228485107	1471,875	-0,54842883348465	
1475	0,965652346611023	1475	-0,545053958892822	
1478,125	0,96635890007019	1478,125	-0,537695646286011	
1481,25	0,969742298126221	1481,25	-0,532560050487518	
1484,375	0,970013558864594	1484,375	-0,522982656955719	
1487,5	0,967487812042236	1487,5	-0,519611895084381	
1490,625	0,969513595104218	1490,625	-0,513722777366638	
1493,75	0,970172047615051	1493,75	-0,507823944091797	
1496,875	0,97303968667984	1496,875	-0,505220830440521	
1500	0,974334478378296	1500	-0,496430695056915	
1503,125	0,978367507457733	1503,125	-0,490303725004196	
1506,25	0,983106672763824	1506,25	-0,486403197050095	
